organizacion,candidatos,lima_met,pct_lima_met
PARTIDO MORADO,27,27,100
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,24,22,92
PODEMOS PERU,29,26,90
LIBERTAD POPULAR,27,24,89
PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,30,26,87
PARTIDO SICREO,28,24,86
FE EN EL PERU,18,15,83
PARTIDO DEMOCRATA VERDE,29,23,79
RENOVACION POPULAR,29,23,79
PARTIDO POLITICO PRIN,26,20,77
PARTIDO APRISTA PERUANO,28,21,75
PARTIDO CIVICO OBRAS,30,22,73
PARTIDO DEL BUEN GOBIERNO,29,21,72
UNIDAD NACIONAL,29,20,69
PARTIDO PATRIOTICO DEL PERU,26,17,65
"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",27,17,63
PARTIDO DEMOCRATA UNIDO PERU,18,11,61
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERU,20,12,60
PARTIDO FRENTE DE LA ESPERANZA 2021,29,16,55
ALIANZA ELECTORAL VENCEREMOS,28,15,54
PARTIDO POLITICO PERU PRIMERO,28,15,54
PARTIDO DEMOCRATICO FEDERAL,23,12,52
FUERZA POPULAR,30,15,50
PARTIDO PAIS PARA TODOS,24,12,50
JUNTOS POR EL PERU,29,14,48
PROGRESEMOS,29,14,48
PARTIDO POLITICO NACIONAL PERU LIBRE,30,12,40
PARTIDO POLITICO COOPERACION POPULAR,28,10,36
AHORA NACION - AN,28,9,32
FUERZA Y LIBERTAD,28,9,32
PARTIDO POLITICO PERU ACCION,29,9,31
ALIANZA PARA EL PROGRESO,29,8,28
PARTIDO DEMOCRATICO SOMOS PERU,27,7,26
FRENTE POPULAR AGRICOLA FIA DEL PERU,30,6,20
UN CAMINO DIFERENTE,30,3,10
