grupo,listas,candidatos,circunscripciones,reg,prov,dist,n_orgs,organizaciones
ALIANZA PARA EL PROGRESO + ALIADOS,1415,11423,1415,17,160,1238,3,ALIANZA PARA EL PROGRESO | APP - LA CHOLITA | APP - TRABAJA AYACUCHO
PARTIDO DEMOCRATICO SOMOS PERU + ALIADOS,1129,9484,1129,20,136,973,2,PARTIDO DEMOCRATICO SOMOS PERU | PARTIDO DEMOCRATICO SOMOS PERU
PARTIDO POLITICO PERU PRIMERO,930,7753,930,17,116,797,1,PARTIDO POLITICO PERU PRIMERO
PODEMOS PERU,894,7492,894,14,109,771,1,PODEMOS PERU
AHORA NACION - AN,730,6178,730,12,99,619,1,AHORA NACION - AN
ACCION POPULAR,709,6319,709,19,87,603,1,ACCION POPULAR
RENOVACION POPULAR + ALIADOS,672,6044,671,17,88,566,3,"RENOVACION POPULAR PERU | ALIANZA RENOVACION POPULAR Y TORO | PARTIDO POR EL ENTENDIMIENTO, RECUPERACION Y LA UNIFICACION DEL PERU"
PROGRESEMOS,423,3682,423,9,58,356,1,PROGRESEMOS
PARTIDO PAIS PARA TODOS,350,3057,350,9,52,289,1,PARTIDO PAIS PARA TODOS
JUNTOS POR EL PERU + ALIADOS,314,2949,314,10,51,253,2,JUNTOS POR EL PERU | ASI - JUNTOS POR EL PERU
FUERZA POPULAR,305,2885,305,9,45,251,1,FUERZA POPULAR
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,232,2354,232,8,28,196,1,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
ALIANZA ELECTORAL VENCEREMOS,222,2138,222,12,42,168,1,ALIANZA ELECTORAL VENCEREMOS
LIBERTAD POPULAR,212,1720,212,2,30,180,1,LIBERTAD POPULAR
PARTIDO DEMOCRATA VERDE,190,1662,190,3,31,156,1,PARTIDO DEMOCRATA VERDE
PARTIDO FRENTE DE LA ESPERANZA 2021,157,1415,157,4,23,130,1,PARTIDO FRENTE DE LA ESPERANZA 2021
BATALLA PERU,157,1371,157,4,20,133,1,BATALLA PERU
PARTIDO APRISTA PERUANO,148,1582,148,5,29,114,1,PARTIDO APRISTA PERUANO
PARTIDO POLITICO PRIN,135,1219,135,2,20,113,1,PARTIDO POLITICO PRIN
PARTIDO POPULAR CRISTIANO - PPC,129,1478,129,7,20,102,1,PARTIDO POPULAR CRISTIANO - PPC
MOVIMIENTO POLITICO REGIONAL CAJAMARCA RENACE,109,862,109,1,13,95,1,MOVIMIENTO POLITICO REGIONAL CAJAMARCA RENACE
FRENTE POPULAR AGRICOLA FIA DEL PERU,103,1466,103,15,46,42,1,FRENTE POPULAR AGRICOLA FIA DEL PERU
PERU MODERNO,89,850,89,3,16,70,1,PERU MODERNO
PARTIDO DEL BUEN GOBIERNO,88,1162,88,10,38,40,1,PARTIDO DEL BUEN GOBIERNO
MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,85,636,85,1,7,77,1,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE
PARTIDO POLITICO NACIONAL PERU LIBRE,73,695,73,2,10,61,1,PARTIDO POLITICO NACIONAL PERU LIBRE
VISION PERU,72,1199,72,15,45,12,1,VISION PERU
MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,70,531,70,1,7,62,1,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO
PARTIDO POLITICO PUEBLO CONSCIENTE,67,945,67,12,43,12,1,PARTIDO POLITICO PUEBLO CONSCIENTE
FE EN EL PERU,63,602,63,1,8,54,1,FE EN EL PERU
PARTIDO CIVICO OBRAS,61,765,61,4,13,44,1,PARTIDO CIVICO OBRAS
FUERZA AREQUIPEÑA,61,536,61,1,8,52,1,FUERZA AREQUIPEÑA
FUERZA CIUDADANA,54,846,54,10,43,1,1,FUERZA CIUDADANA
PARTIDO MORADO,52,572,52,2,5,45,1,PARTIDO MORADO
ALIANZA REGIONAL POR EL PERU + ALIADOS,51,519,51,2,6,43,2,ALIANZA REGIONAL POR EL PERU | PARTIDO UNIDAD Y PAZ
SALVEMOS AL PERU,51,501,51,2,8,41,1,SALVEMOS AL PERU
CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,49,402,49,1,8,40,1,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA
MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,48,449,48,1,8,39,1,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL
"AREQUIPA, TRADICION Y FUTURO",45,392,45,1,5,39,1,"AREQUIPA, TRADICION Y FUTURO"
"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",44,294,44,10,24,10,1,"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO"
MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,38,373,38,1,5,32,1,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS
MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,33,288,33,1,6,26,1,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO
PARTIDO POLITICO TODO CON EL PUEBLO,33,477,33,9,12,12,1,PARTIDO POLITICO TODO CON EL PUEBLO
FRENTE REGIONAL TUPAC,32,289,32,1,6,25,1,FRENTE REGIONAL TUPAC
PARTIDO PATRIOTICO DEL PERU,31,439,31,2,9,20,1,PARTIDO PATRIOTICO DEL PERU
UNION REGIONAL,30,271,30,1,6,23,1,UNION REGIONAL
PARTIDO DEMOCRATA UNIDO PERU,30,338,30,2,8,20,1,PARTIDO DEMOCRATA UNIDO PERU
YO AREQUIPA,21,226,21,1,4,16,1,YO AREQUIPA
COALICION TRANSFORMADORA TIERRA VERDE,19,250,19,7,4,8,1,COALICION TRANSFORMADORA TIERRA VERDE
UN CAMINO DIFERENTE,19,181,19,0,3,16,1,UN CAMINO DIFERENTE
MOVIMIENTO POLITICO UNIDOS POR EL DESARROLLO DE HUANUCO - UDH,19,194,19,1,5,13,1,MOVIMIENTO POLITICO UNIDOS POR EL DESARROLLO DE HUANUCO - UDH
"COOPERACION, VERDAD Y HONRADEZ",17,213,17,0,6,11,1,"COOPERACION, VERDAD Y HONRADEZ"
PARTIDO SICREO,15,171,15,0,3,12,1,PARTIDO SICREO
RENOVACION TUMBESINA,12,109,12,1,3,8,1,RENOVACION TUMBESINA
ALIANZA LIBERTAD MADREDIOSENSE,12,107,12,1,3,8,1,ALIANZA LIBERTAD MADREDIOSENSE
PARTIDO POLITICO PERU ACCION,11,113,11,0,2,9,1,PARTIDO POLITICO PERU ACCION
UNIDOS POR TACNA,10,103,10,1,3,6,1,UNIDOS POR TACNA
SOCIOS POR ANCASH,9,128,9,1,2,6,1,SOCIOS POR ANCASH
VIVA PUNO,8,72,8,0,2,6,1,VIVA PUNO
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE PERU - COMUNIDAD POLITICA INKA PERU,7,110,7,1,2,4,1,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE PERU - COMUNIDAD POLITICA INKA PERU
PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,6,88,6,0,2,4,1,PARTIDO POLITICO INTEGRIDAD DEMOCRATICA
KAUSACHUN,5,50,5,1,1,3,1,KAUSACHUN
MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA,5,68,5,1,1,3,1,MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA
PARTIDO POLITICO ADP,5,63,5,0,1,4,1,PARTIDO POLITICO ADP
NUEVA ESPERANZA,3,37,3,0,1,2,1,NUEVA ESPERANZA
CAJAMARCA SIEMPRE VERDE,2,26,2,0,1,1,1,CAJAMARCA SIEMPRE VERDE
VAMOS MOQUEGUA,1,22,1,1,0,0,1,VAMOS MOQUEGUA
