organizacion_id,organizacion,tipo_organizacion,grupo_id,grupo,grupo_n_orgs,es_ancla,listas,candidatos,reg,prov,dist,n_departamentos,departamentos,integrantes
4,ACCION POPULAR,PARTIDOS POLITICOS,4,ACCION POPULAR,1,True,709,6319,19,87,603,23,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MOQUEGUA | PASCO | PIURA | SAN MARTIN | TACNA | TUMBES | UCAYALI,
2980,AHORA NACION - AN,PARTIDOS POLITICOS,2980,AHORA NACION - AN,1,True,730,6178,12,99,619,23,ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | UCAYALI,
3028,ALIANZA ELECTORAL VENCEREMOS,ALIANZAS ELECTORALES,3028,ALIANZA ELECTORAL VENCEREMOS,1,True,222,2138,12,42,168,22,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | MADRE DE DIOS | MOQUEGUA | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,NUEVO PERU POR EL BUEN VIVIR | UP - UNIDAD POPULAR | POPULAR VOCES DEL PUEBLO | ADELANTE PUEBLO UNIDO | RESURGIMIENTO UNIDO NACIONAL - RUNA
2809,ALIANZA LIBERTAD MADREDIOSENSE,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2809,ALIANZA LIBERTAD MADREDIOSENSE,1,True,12,107,1,3,8,1,MADRE DE DIOS,
1257,ALIANZA PARA EL PROGRESO,PARTIDOS POLITICOS,1257,ALIANZA PARA EL PROGRESO + ALIADOS,3,True,1189,9705,15,140,1034,24,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,
3032,APP - LA CHOLITA,ALIANZAS ELECTORALES,1257,ALIANZA PARA EL PROGRESO + ALIADOS,3,False,119,908,1,9,109,1,LIMA,ALIANZA PARA EL PROGRESO | MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA
3031,APP - TRABAJA AYACUCHO,ALIANZAS ELECTORALES,1257,ALIANZA PARA EL PROGRESO + ALIADOS,3,False,107,810,1,11,95,1,AYACUCHO,ALIANZA PARA EL PROGRESO | MOVIMIENTO REGIONAL TRABAJA AYACUCHO
3036,ALIANZA REGIONAL POR EL PERU,ALIANZAS ELECTORALES,3036,ALIANZA REGIONAL POR EL PERU + ALIADOS,2,True,40,398,2,6,32,9,AMAZONAS | ANCASH | AREQUIPA | CALLAO | LA LIBERTAD | LIMA | PASCO | TUMBES | UCAYALI,FUERZA MODERNA | PERUANOS UNIDOS: ¡SOMOS LIBRES! | PARTIDO UNIDAD Y PAZ
2944,PARTIDO UNIDAD Y PAZ,PARTIDOS POLITICOS,3036,ALIANZA REGIONAL POR EL PERU + ALIADOS,2,False,11,121,0,0,11,5,AMAZONAS | AREQUIPA | CALLAO | LIMA | SAN MARTIN,
142,"AREQUIPA, TRADICION Y FUTURO",MOVIMIENTOS REGIONALES O DEPARTAMENTALES,142,"AREQUIPA, TRADICION Y FUTURO",1,True,45,392,1,5,39,1,AREQUIPA,
