mesa_id,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
000034,FUERZA POPULAR,41,44.0,3.0,7.317073170731707
000123,FUERZA POPULAR,19,18.0,-1.0,-5.263157894736842
000356,FUERZA POPULAR,0,0.0,0.0,
000758,FUERZA POPULAR,2,2.0,0.0,0.0
000812,FUERZA POPULAR,38,37.0,-1.0,-2.631578947368421
000962,FUERZA POPULAR,28,28.0,0.0,0.0
000990,FUERZA POPULAR,26,23.0,-3.0,-11.538461538461538
001015,FUERZA POPULAR,25,25.0,0.0,0.0
001046,FUERZA POPULAR,24,24.0,0.0,0.0
001386,FUERZA POPULAR,39,38.0,-1.0,-2.564102564102564
001560,FUERZA POPULAR,20,21.0,1.0,5.0
001675,FUERZA POPULAR,58,57.0,-1.0,-1.7241379310344827
001763,FUERZA POPULAR,42,46.0,4.0,9.523809523809524
001947,FUERZA POPULAR,16,17.0,1.0,6.25
001998,FUERZA POPULAR,3,12.0,9.0,300.0
002021,FUERZA POPULAR,8,8.0,0.0,0.0
002061,FUERZA POPULAR,4,4.0,0.0,0.0
002071,FUERZA POPULAR,10,11.0,1.0,10.0
002135,FUERZA POPULAR,14,16.0,2.0,14.285714285714285
002143,FUERZA POPULAR,12,20.0,8.0,66.66666666666666
002151,FUERZA POPULAR,24,24.0,0.0,0.0
002167,FUERZA POPULAR,8,8.0,0.0,0.0
002176,FUERZA POPULAR,3,3.0,0.0,0.0
002183,FUERZA POPULAR,14,16.0,2.0,14.285714285714285
002267,FUERZA POPULAR,3,4.0,1.0,33.33333333333333
002391,FUERZA POPULAR,15,15.0,0.0,0.0
002920,FUERZA POPULAR,27,30.0,3.0,11.11111111111111
003202,FUERZA POPULAR,33,34.0,1.0,3.0303030303030303
003214,FUERZA POPULAR,43,44.0,1.0,2.3255813953488373
003347,FUERZA POPULAR,32,32.0,0.0,0.0
003403,FUERZA POPULAR,29,30.0,1.0,3.4482758620689653
003404,FUERZA POPULAR,28,29.0,1.0,3.571428571428571
003562,FUERZA POPULAR,30,31.0,1.0,3.3333333333333335
003574,FUERZA POPULAR,34,35.0,1.0,2.941176470588235
003630,FUERZA POPULAR,35,35.0,0.0,0.0
003724,FUERZA POPULAR,17,17.0,0.0,0.0
003737,FUERZA POPULAR,13,13.0,0.0,0.0
003955,FUERZA POPULAR,2,3.0,1.0,50.0
003956,FUERZA POPULAR,0,3.0,3.0,
003958,FUERZA POPULAR,1,1.0,0.0,0.0
003970,FUERZA POPULAR,15,16.0,1.0,6.666666666666667
003972,FUERZA POPULAR,2,18.0,16.0,800.0
003978,FUERZA POPULAR,16,16.0,0.0,0.0
004042,FUERZA POPULAR,64,68.0,4.0,6.25
004073,FUERZA POPULAR,63,67.0,4.0,6.349206349206349
004539,FUERZA POPULAR,18,18.0,0.0,0.0
004616,FUERZA POPULAR,10,10.0,0.0,0.0
004661,FUERZA POPULAR,17,17.0,0.0,0.0
004768,FUERZA POPULAR,15,14.0,-1.0,-6.666666666666667
005178,FUERZA POPULAR,22,22.0,0.0,0.0
005260,FUERZA POPULAR,12,14.0,2.0,16.666666666666664
006394,FUERZA POPULAR,10,10.0,0.0,0.0
007312,FUERZA POPULAR,18,18.0,0.0,0.0
008536,FUERZA POPULAR,5,5.0,0.0,0.0
008688,FUERZA POPULAR,14,14.0,0.0,0.0
008908,FUERZA POPULAR,22,24.0,2.0,9.090909090909092
009579,FUERZA POPULAR,19,21.0,2.0,10.526315789473683
009935,FUERZA POPULAR,10,10.0,0.0,0.0
010142,FUERZA POPULAR,15,18.0,3.0,20.0
010396,FUERZA POPULAR,19,20.0,1.0,5.263157894736842
010646,FUERZA POPULAR,11,11.0,0.0,0.0
011386,FUERZA POPULAR,33,33.0,0.0,0.0
011421,FUERZA POPULAR,36,37.0,1.0,2.7777777777777777
011456,FUERZA POPULAR,31,31.0,0.0,0.0
011515,FUERZA POPULAR,33,34.0,1.0,3.0303030303030303
011577,FUERZA POPULAR,33,35.0,2.0,6.0606060606060606
011662,FUERZA POPULAR,37,37.0,0.0,0.0
011761,FUERZA POPULAR,32,32.0,0.0,0.0
011857,FUERZA POPULAR,36,5.0,-31.0,-86.11111111111111
011862,FUERZA POPULAR,46,36.0,-10.0,-21.73913043478261
011864,FUERZA POPULAR,47,50.0,3.0,6.382978723404255
011867,FUERZA POPULAR,52,52.0,0.0,0.0
012119,FUERZA POPULAR,28,31.0,3.0,10.714285714285714
012144,FUERZA POPULAR,36,38.0,2.0,5.555555555555555
012254,FUERZA POPULAR,11,10.0,-1.0,-9.090909090909092
012673,FUERZA POPULAR,13,,,
013489,FUERZA POPULAR,33,33.0,0.0,0.0
013530,FUERZA POPULAR,33,33.0,0.0,0.0
013597,FUERZA POPULAR,22,22.0,0.0,0.0
013662,FUERZA POPULAR,30,32.0,2.0,6.666666666666667
013856,FUERZA POPULAR,12,12.0,0.0,0.0
013966,FUERZA POPULAR,33,35.0,2.0,6.0606060606060606
013968,FUERZA POPULAR,33,33.0,0.0,0.0
014218,FUERZA POPULAR,39,39.0,0.0,0.0
014263,FUERZA POPULAR,14,14.0,0.0,0.0
014415,FUERZA POPULAR,17,18.0,1.0,5.88235294117647
014474,FUERZA POPULAR,15,15.0,0.0,0.0
014509,FUERZA POPULAR,11,13.0,2.0,18.181818181818183
014782,FUERZA POPULAR,17,15.0,-2.0,-11.76470588235294
015502,FUERZA POPULAR,29,29.0,0.0,0.0
015580,FUERZA POPULAR,19,19.0,0.0,0.0
015661,FUERZA POPULAR,27,29.0,2.0,7.4074074074074066
015936,FUERZA POPULAR,17,18.0,1.0,5.88235294117647
016009,FUERZA POPULAR,12,12.0,0.0,0.0
016108,FUERZA POPULAR,11,11.0,0.0,0.0
016132,FUERZA POPULAR,0,10.0,10.0,
016198,FUERZA POPULAR,13,13.0,0.0,0.0
016229,FUERZA POPULAR,9,8.0,-1.0,-11.11111111111111
016955,FUERZA POPULAR,0,4.0,4.0,
017044,FUERZA POPULAR,13,13.0,0.0,0.0
017171,FUERZA POPULAR,4,4.0,0.0,0.0
017373,FUERZA POPULAR,7,7.0,0.0,0.0
017378,FUERZA POPULAR,7,7.0,0.0,0.0
017436,FUERZA POPULAR,6,6.0,0.0,0.0
017600,FUERZA POPULAR,0,0.0,0.0,
017613,FUERZA POPULAR,15,17.0,2.0,13.333333333333334
017623,FUERZA POPULAR,8,8.0,0.0,0.0
017722,FUERZA POPULAR,8,8.0,0.0,0.0
017738,FUERZA POPULAR,9,10.0,1.0,11.11111111111111
017804,FUERZA POPULAR,3,3.0,0.0,0.0
017960,FUERZA POPULAR,6,6.0,0.0,0.0
017980,FUERZA POPULAR,5,6.0,1.0,20.0
018147,FUERZA POPULAR,4,4.0,0.0,0.0
018272,FUERZA POPULAR,6,8.0,2.0,33.33333333333333
018304,FUERZA POPULAR,8,8.0,0.0,0.0
018455,FUERZA POPULAR,12,13.0,1.0,8.333333333333332
018545,FUERZA POPULAR,9,9.0,0.0,0.0
018702,FUERZA POPULAR,4,4.0,0.0,0.0
018793,FUERZA POPULAR,3,3.0,0.0,0.0
018835,FUERZA POPULAR,20,19.0,-1.0,-5.0
019300,FUERZA POPULAR,11,11.0,0.0,0.0
019549,FUERZA POPULAR,28,32.0,4.0,14.285714285714285
019713,FUERZA POPULAR,24,24.0,0.0,0.0
019793,FUERZA POPULAR,14,29.0,15.0,107.14285714285714
019858,FUERZA POPULAR,4,4.0,0.0,0.0
019864,FUERZA POPULAR,29,30.0,1.0,3.4482758620689653
019918,FUERZA POPULAR,32,31.0,-1.0,-3.125
020032,FUERZA POPULAR,21,22.0,1.0,4.761904761904762
020074,FUERZA POPULAR,27,14.0,-13.0,-48.148148148148145
020105,FUERZA POPULAR,27,28.0,1.0,3.7037037037037033
020127,FUERZA POPULAR,23,21.0,-2.0,-8.695652173913043
