mesa_id,partido_posicion,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
000034,1,ALIANZA ELECTORAL VENCEREMOS,1.0,1.0,0.0,0.0
000034,2,PARTIDO PATRIÓTICO DEL PERÚ,3.0,3.0,0.0,0.0
000034,3,PARTIDO CÍVICO OBRAS,26.0,26.0,0.0,0.0
000034,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000034,5,PARTIDO DEMÓCRATA VERDE,0.0,0.0,0.0,
000034,6,PARTIDO DEL BUEN GOBIERNO,24.0,25.0,1.0,4.166666666666666
000034,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
000034,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
000034,9,PROGRESEMOS,0.0,0.0,0.0,
000034,10,PARTIDO SICREO,4.0,5.0,1.0,25.0
000034,11,PARTIDO PAÍS PARA TODOS,11.0,10.0,-1.0,-9.090909090909092
000034,12,PARTIDO FRENTE DE LA ESPERANZA 2021,5.0,5.0,0.0,0.0
000034,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.0,0.0,0.0,
000034,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000034,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",10.0,11.0,1.0,10.0
000034,16,JUNTOS POR EL PERÚ,11.0,15.0,4.0,36.36363636363637
000034,17,PODEMOS PERÚ,3.0,1.0,-2.0,-66.66666666666666
000034,18,PARTIDO DEMOCRATICO FEDERAL,0.0,0.0,0.0,
000034,19,FE EN EL PERÚ,1.0,0.0,-1.0,-100.0
000034,20,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,1.0,1.0,0.0,0.0
000034,21,FUERZA POPULAR,41.0,44.0,3.0,7.317073170731707
000034,22,ALIANZA PARA EL PROGRESO,4.0,4.0,0.0,0.0
000034,23,PARTIDO POLÍTICO COOPERACIÓN POPULAR,3.0,3.0,0.0,0.0
000034,24,AHORA NACIÓN - AN,27.0,27.0,0.0,0.0
000034,25,LIBERTAD POPULAR,0.0,0.0,0.0,
000034,26,UN CAMINO DIFERENTE,0.0,0.0,0.0,
000034,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0,0.0,0.0,
000034,28,PERÚ MODERNO,0.0,0.0,0.0,
000034,29,PARTIDO POLÍTICO PERÚ PRIMERO,4.0,4.0,0.0,0.0
000034,30,SALVEMOS AL PERÚ,0.0,0.0,0.0,
000034,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,5.0,5.0,0.0,0.0
000034,32,PARTIDO APRISTA PERUANO,1.0,1.0,0.0,0.0
000034,33,RENOVACIÓN POPULAR,21.0,21.0,0.0,0.0
000034,34,PARTIDO DEMÓCRATA UNIDO PERÚ,0.0,0.0,0.0,
000034,35,FUERZA Y LIBERTAD,1.0,1.0,0.0,0.0
000034,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.0,0.0,0.0,
000034,37,UNIDAD NACIONAL,1.0,1.0,0.0,0.0
000034,38,PARTIDO MORADO,0.0,0.0,0.0,
000034,80,VOTOS EN BLANCO,26.0,19.0,-7.0,-26.923076923076923
000034,81,VOTOS NULOS,14.0,14.0,0.0,0.0
000034,99,TOTAL DE CIUDADANOS QUE VOTARON,247.0,247.0,0.0,0.0
000123,1,ALIANZA ELECTORAL VENCEREMOS,0.0,0.0,0.0,
000123,2,PARTIDO PATRIÓTICO DEL PERÚ,1.0,1.0,0.0,0.0
000123,3,PARTIDO CÍVICO OBRAS,13.0,13.0,0.0,0.0
000123,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000123,5,PARTIDO DEMÓCRATA VERDE,1.0,1.0,0.0,0.0
000123,6,PARTIDO DEL BUEN GOBIERNO,9.0,9.0,0.0,0.0
000123,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
000123,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
000123,9,PROGRESEMOS,0.0,0.0,0.0,
000123,10,PARTIDO SICREO,0.0,0.0,0.0,
000123,11,PARTIDO PAÍS PARA TODOS,6.0,6.0,0.0,0.0
000123,12,PARTIDO FRENTE DE LA ESPERANZA 2021,0.0,1.0,1.0,
000123,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,1.0,1.0,0.0,0.0
000123,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000123,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1.0,1.0,0.0,0.0
