mpio_reg_code_7,dept_reg_code,dept_name,mpio_name,is_exterior,censo,num_mesas
0100001,0100,ANTIOQUIA,MEDELLIN,False,1862718,5499
0100004,0100,ANTIOQUIA,ABEJORRAL,False,15644,51
0100007,0100,ANTIOQUIA,ABRIAQUI,False,2062,7
0100010,0100,ANTIOQUIA,ALEJANDRIA,False,4733,15
0100013,0100,ANTIOQUIA,AMAGA,False,24730,78
0100016,0100,ANTIOQUIA,AMALFI,False,19294,60
0100019,0100,ANTIOQUIA,ANDES,False,36920,115
0100022,0100,ANTIOQUIA,ANGELOPOLIS,False,6041,20
0100025,0100,ANTIOQUIA,ANGOSTURA,False,9718,30
0100028,0100,ANTIOQUIA,ANORI,False,13909,45
0100031,0100,ANTIOQUIA,ANTIOQUIA,False,24242,77
0100034,0100,ANTIOQUIA,ANZA,False,6764,21
0100035,0100,ANTIOQUIA,APARTADO,False,109862,336
0100037,0100,ANTIOQUIA,ARBOLETES,False,24079,75
0100039,0100,ANTIOQUIA,ARGELIA,False,6990,25
0100040,0100,ANTIOQUIA,ARMENIA,False,4667,15
0100043,0100,ANTIOQUIA,BARBOSA,False,46850,145
0100046,0100,ANTIOQUIA,BELMIRA,False,5466,20
0100049,0100,ANTIOQUIA,BELLO,False,368373,1063
0100052,0100,ANTIOQUIA,BETANIA,False,8596,27
0100055,0100,ANTIOQUIA,BETULIA,False,14145,45
0100058,0100,ANTIOQUIA,BOLIVAR,False,24357,75
0100061,0100,ANTIOQUIA,BURITICA,False,8423,28
0100062,0100,ANTIOQUIA,BRICEÑO,False,7121,25
0100064,0100,ANTIOQUIA,CACERES,False,21504,66
0100067,0100,ANTIOQUIA,CAICEDO,False,7301,22
0100070,0100,ANTIOQUIA,CALDAS,False,72495,223
0100073,0100,ANTIOQUIA,CAMPAMENTO,False,7332,23
0100076,0100,ANTIOQUIA,CAÑASGORDAS,False,15282,46
0100078,0100,ANTIOQUIA,CARACOLI,False,4972,17
