mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_32_000001|HECTOR ELIAS PINEDA SALAZAR,cand_32_000002|EDISON LUCIO TORRES MORENO,cand_32_000003|ROY LEONARDO BARRERAS MONTEALEGRE,cand_32_000004|MARTHA VIVIANA BERNAL AMAYA,cand_32_000005|DANIEL QUINTERO CALLE
0100001,5499,5498,1862718,576754,32020,17187,0,527547,1113,982,6683,1757,21084
0100004,51,51,15644,4020,93,475,0,3452,5,10,20,8,47
0100007,7,7,2062,704,14,37,0,653,1,3,5,1,3
0100010,15,15,4733,1024,40,85,0,899,0,4,27,0,11
0100013,78,78,24730,3452,223,234,0,2995,6,12,30,13,119
0100016,60,60,19294,2129,84,180,0,1865,2,9,22,11,72
0100019,115,115,36920,7049,249,456,0,6344,12,16,38,20,124
0100022,20,20,6041,856,49,88,0,719,1,3,39,3,15
0100025,30,30,9718,959,37,113,0,809,2,6,10,6,27
0100028,45,45,13909,737,21,139,0,577,2,3,38,4,41
0100031,77,77,24242,4110,205,349,0,3556,5,7,38,15,138
0100034,21,21,6764,1005,20,121,0,864,1,2,9,3,25
0100035,336,336,109862,14637,1383,1721,0,11533,66,158,332,79,879
0100037,75,75,24079,1932,87,267,0,1578,5,20,35,10,125
0100039,25,25,6990,935,13,112,0,810,1,3,9,1,15
0100040,15,15,4667,770,29,106,0,635,0,3,4,1,15
0100043,145,145,46850,8592,590,786,0,7216,20,30,92,43,431
0100046,20,20,5466,1389,27,115,0,1247,2,3,9,4,24
0100049,1063,1063,368373,89027,5658,3665,0,79704,228,185,904,313,3803
0100052,27,27,8596,1259,46,122,0,1091,2,2,5,0,16
0100055,45,45,14145,2209,65,256,0,1888,2,4,7,9,38
0100058,75,75,24357,5234,201,336,0,4697,6,7,50,15,72
0100061,28,28,8423,1035,20,189,0,826,1,14,12,4,45
0100062,25,25,7121,631,32,104,0,495,2,3,15,2,22
0100064,66,66,21504,1428,103,485,0,840,5,23,24,10,98
0100067,22,22,7301,1766,31,158,0,1577,4,1,8,4,24
0100070,223,223,72495,18897,1361,1029,0,16507,51,54,142,60,792
0100073,23,23,7332,1172,34,187,0,951,2,3,4,3,15
0100076,46,46,15282,2750,65,249,0,2436,3,5,13,4,36
0100078,17,17,4972,707,25,83,0,599,0,5,8,5,17
0100079,16,16,5098,1407,30,181,0,1196,1,6,2,2,20
0100080,155,155,50144,6575,555,1131,0,4889,27,96,123,42,381
0100082,141,141,45777,12882,601,484,0,11797,21,31,146,55,330
0100085,14,14,4419,1223,57,77,0,1089,2,3,30,4,17
0100088,248,248,78183,8478,714,1374,0,6390,30,105,210,66,597
0100091,39,39,12859,2580,164,301,0,2115,6,14,25,19,120
0100094,48,48,14930,2952,77,155,0,2720,3,8,19,6,62
0100097,14,14,4557,1362,36,126,0,1200,1,3,5,1,8
0100100,52,52,16573,2526,57,223,0,2246,0,9,24,11,40
0100103,241,241,77778,17428,1053,705,0,15670,35,33,157,76,637
0100106,165,165,53823,5573,420,754,0,4399,27,76,136,33,312
0100109,67,67,20829,1718,74,296,0,1348,10,14,12,8,39
0100112,58,58,19149,4542,130,230,0,4182,9,5,36,7,50
0100115,37,37,11640,2497,130,259,0,2108,4,5,17,5,46
0100117,131,131,42682,2413,197,439,0,1777,10,21,43,13,143
0100118,30,30,9845,2786,112,214,0,2460,4,3,30,10,45
0100121,752,752,245614,97897,4811,2246,0,90840,141,113,1053,204,1740
0100124,60,60,18270,3499,170,334,0,2995,9,14,32,9,77
0100127,59,59,18464,1607,42,43,0,1522,0,3,7,1,26
0100130,17,17,5194,968,26,96,0,846,2,0,11,11,24
0100133,173,173,57065,11495,650,515,0,10330,33,24,165,49,420
0100136,28,28,9174,2120,102,157,0,1861,4,2,24,8,54
0100139,32,32,10193,1882,49,104,0,1729,1,2,16,7,28
0100140,20,20,6000,719,37,117,0,565,0,2,10,1,34
0100142,136,136,43263,14161,871,688,0,12602,17,23,123,49,385
0100145,25,25,8236,2181,71,41,0,2069,1,1,9,6,35
0100148,20,20,6156,978,33,87,0,858,0,3,11,3,22
0100150,17,17,5339,874,27,75,0,772,2,0,11,6,34
0100151,770,770,267367,70559,4558,2958,0,63043,151,149,932,240,2623
0100154,62,62,18208,896,46,78,0,772,2,5,7,8,35
0100157,42,42,13394,3964,129,284,0,3551,5,3,23,14,87
0100160,36,36,11599,3038,121,194,0,2723,2,2,14,15,38
0100163,183,183,59367,22281,1133,923,0,20225,31,41,206,76,499
0100166,205,205,66476,17885,993,528,0,16364,29,26,193,40,497
0100168,39,39,12566,1487,57,134,0,1296,4,9,64,5,91
0100169,63,63,20261,5398,216,224,0,4958,6,4,53,28,157
0100170,23,23,7577,923,33,59,0,831,3,1,4,5,16
0100172,31,31,9787,1540,46,117,0,1377,2,1,7,6,42
0100175,28,28,8734,1410,47,143,0,1220,4,4,15,7,58
0100178,159,159,51760,15957,743,645,0,14569,33,23,152,39,376
0100181,21,21,6570,1337,48,152,0,1137,4,5,15,6,30
0100184,13,13,3583,190,1,67,0,122,1,8,7,1,18
0100187,51,51,16692,1501,71,296,0,1134,5,18,17,14,82
