mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_31_000001|MAURICIO CARDENAS SANTAMARIA,cand_31_000002|DAVID ANDRES LUNA SANCHEZ,cand_31_000003|VICTORIA EUGENIA DAVILA HOYOS,cand_31_000004|JUAN MANUEL GALAN PACHON,cand_31_000005|PALOMA SUSANA VALENCIA LASERNA,cand_31_000006|JUAN CARLOS PINZON BUENO,cand_31_000007|ANIBAL GAVIRIA CORREA,cand_31_000008|ENRIQUE PEÑALOSA LONDOÑO,cand_31_000009|JUAN DANIEL OVIEDO ARANGO
0100001,5499,5498,1862718,576754,32020,17187,0,527547,4235,3763,14515,10421,324809,16706,42232,3609,58432
0100004,51,51,15644,4020,93,475,0,3452,10,11,95,30,2645,60,298,13,113
0100007,7,7,2062,704,14,37,0,653,3,0,7,3,135,12,460,1,10
0100010,15,15,4733,1024,40,85,0,899,2,4,30,69,555,23,93,5,52
0100013,78,78,24730,3452,223,234,0,2995,10,12,92,78,1759,60,405,21,243
0100016,60,60,19294,2129,84,180,0,1865,5,8,67,30,734,42,585,17,157
0100019,115,115,36920,7049,249,456,0,6344,14,21,138,87,3728,101,1581,22,267
0100022,20,20,6041,856,49,88,0,719,1,3,48,13,351,19,138,8,54
0100025,30,30,9718,959,37,113,0,809,8,7,30,10,394,28,188,7,44
0100028,45,45,13909,737,21,139,0,577,4,3,22,18,265,30,93,7,28
0100031,77,77,24242,4110,205,349,0,3556,10,20,106,68,2073,62,695,15,195
0100034,21,21,6764,1005,20,121,0,864,2,3,21,49,536,4,151,2,34
0100035,336,336,109862,14637,1383,1721,0,11533,74,101,367,423,5082,240,1823,155,861
0100037,75,75,24079,1932,87,267,0,1578,7,11,43,36,942,42,132,12,59
0100039,25,25,6990,935,13,112,0,810,1,3,14,6,609,13,76,3,33
0100040,15,15,4667,770,29,106,0,635,5,6,19,19,385,21,106,2,31
0100043,145,145,46850,8592,590,786,0,7216,58,43,290,191,4044,167,760,50,615
0100046,20,20,5466,1389,27,115,0,1247,2,1,46,13,509,17,525,5,52
0100049,1063,1063,368373,89027,5658,3665,0,79704,638,452,2881,2042,46124,2665,7102,473,8668
0100052,27,27,8596,1259,46,122,0,1091,7,4,29,14,621,22,319,1,21
0100055,45,45,14145,2209,65,256,0,1888,5,11,35,13,1310,18,325,9,68
0100058,75,75,24357,5234,201,336,0,4697,12,20,87,49,3663,81,357,6,171
0100061,28,28,8423,1035,20,189,0,826,3,0,25,9,356,24,258,5,48
0100062,25,25,7121,631,32,104,0,495,4,3,29,19,216,10,114,1,35
0100064,66,66,21504,1428,103,485,0,840,7,6,46,33,307,24,109,13,38
0100067,22,22,7301,1766,31,158,0,1577,2,1,18,14,526,14,916,3,22
0100070,223,223,72495,18897,1361,1029,0,16507,101,112,793,525,8254,574,2344,102,1827
0100073,23,23,7332,1172,34,187,0,951,3,5,26,7,231,14,588,7,16
0100076,46,46,15282,2750,65,249,0,2436,7,18,48,28,1465,49,618,15,86
0100078,17,17,4972,707,25,83,0,599,5,3,11,4,381,15,87,3,41
0100079,16,16,5098,1407,30,181,0,1196,2,7,28,5,353,15,692,20,25
0100080,155,155,50144,6575,555,1131,0,4889,26,43,168,190,2384,106,511,50,284
0100082,141,141,45777,12882,601,484,0,11797,60,49,432,259,7223,296,1202,75,1094
0100085,14,14,4419,1223,57,77,0,1089,5,3,24,12,486,35,340,6,101
0100088,248,248,78183,8478,714,1374,0,6390,49,79,345,315,2850,178,418,78,462
0100091,39,39,12859,2580,164,301,0,2115,5,14,124,50,994,48,408,28,161
0100094,48,48,14930,2952,77,155,0,2720,7,15,74,31,1912,80,131,3,112
0100097,14,14,4557,1362,36,126,0,1200,4,6,27,28,856,29,168,5,42
0100100,52,52,16573,2526,57,223,0,2246,6,13,52,23,1732,42,180,6,70
0100103,241,241,77778,17428,1053,705,0,15670,99,89,587,395,8641,631,1720,90,1859
0100106,165,165,53823,5573,420,754,0,4399,39,34,182,127,2245,79,428,53,263
0100109,67,67,20829,1718,74,296,0,1348,5,6,50,27,679,29,354,5,77
0100112,58,58,19149,4542,130,230,0,4182,13,19,93,31,2403,88,1141,10,173
0100115,37,37,11640,2497,130,259,0,2108,7,14,52,31,1486,51,262,6,71
0100117,131,131,42682,2413,197,439,0,1777,10,19,78,74,789,41,234,16,107
0100118,30,30,9845,2786,112,214,0,2460,6,15,88,37,1272,94,575,8,186
0100121,752,752,245614,97897,4811,2246,0,90840,758,591,1926,1495,60325,3773,5656,616,10069
0100124,60,60,18270,3499,170,334,0,2995,10,7,109,139,1930,52,322,14,157
0100127,59,59,18464,1607,42,43,0,1522,1,1,22,13,614,16,744,4,58
0100130,17,17,5194,968,26,96,0,846,3,0,13,19,445,31,228,2,38
0100133,173,173,57065,11495,650,515,0,10330,47,63,358,288,5929,218,1154,61,1068
0100136,28,28,9174,2120,102,157,0,1861,20,11,67,38,1105,43,273,9,132
0100139,32,32,10193,1882,49,104,0,1729,9,11,48,9,1177,66,231,6,73
0100140,20,20,6000,719,37,117,0,565,1,4,23,15,324,28,79,3,16
0100142,136,136,43263,14161,871,688,0,12602,59,76,586,594,7573,323,955,102,1161
0100145,25,25,8236,2181,71,41,0,2069,8,14,41,37,1478,52,202,5,137
0100148,20,20,6156,978,33,87,0,858,2,2,16,5,562,24,145,4,38
0100150,17,17,5339,874,27,75,0,772,3,3,23,6,439,29,153,2,35
0100151,770,770,267367,70559,4558,2958,0,63043,537,411,2575,1680,36090,1865,5779,439,6859
0100154,62,62,18208,896,46,78,0,772,3,4,31,13,406,28,142,6,41
0100157,42,42,13394,3964,129,284,0,3551,4,13,85,132,2200,81,610,22,164
0100160,36,36,11599,3038,121,194,0,2723,15,10,60,39,1904,80,324,10,129
0100163,183,183,59367,22281,1133,923,0,20225,142,109,916,614,12118,571,1925,135,2003
0100166,205,205,66476,17885,993,528,0,16364,109,94,459,298,10279,381,1503,74,1874
0100168,39,39,12566,1487,57,134,0,1296,5,4,47,26,789,15,96,8,69
0100169,63,63,20261,5398,216,224,0,4958,13,20,219,172,2506,255,918,40,347
0100170,23,23,7577,923,33,59,0,831,0,3,17,18,634,8,84,1,22
0100172,31,31,9787,1540,46,117,0,1377,2,7,28,14,894,28,255,7,53
0100175,28,28,8734,1410,47,143,0,1220,3,3,27,26,669,35,247,9,58
0100178,159,159,51760,15957,743,645,0,14569,62,93,492,256,9341,523,1065,91,1447
0100181,21,21,6570,1337,48,152,0,1137,6,5,38,48,644,36,187,13,63
0100184,13,13,3583,190,1,67,0,122,4,1,4,7,43,2,13,2,3
0100187,51,51,16692,1501,71,296,0,1134,2,7,63,31,558,13,187,14,45
0100190,30,30,9079,1695,45,212,0,1438,4,7,30,11,1039,21,228,6,30
0100191,68,68,22306,1322,54,283,0,985,10,17,26,29,505,30,97,17,58
0100192,121,121,40654,3856,162,885,0,2809,19,21,91,101,1623,61,224,36,73
0100193,10,10,3024,568,16,41,0,511,1,2,11,3,271,11,155,1,37
0100196,57,57,18759,4827,237,336,0,4254,31,35,150,80,2914,116,308,30,259
0100199,23,23,6907,1937,14,147,0,1776,3,3,11,15,223,1,1456,3,9
0100202,23,23,7578,1513,30,181,0,1302,3,10,27,20,803,29,294,4,33
0100205,114,114,35634,3530,210,235,0,3085,12,19,109,84,1740,119,318,26,260
0100206,47,47,15461,2056,137,244,0,1675,5,12,57,53,901,33,212,14,113
0100208,75,75,23623,1361,102,165,0,1094,4,6,53,24,462,33,184,9,99
0100211,67,67,21852,10695,363,329,0,10003,68,33,172,146,7669,236,466,86,704
0100214,390,390,128988,53162,2758,1827,0,48577,269,282,1361,960,33359,1511,2497,320,4509
0100217,26,26,7957,1020,23,128,0,869,3,7,24,10,615,12,115,6,33
0100218,297,297,96878,38117,1712,982,0,35423,216,256,852,619,21099,1264,3719,237,4768
0100220,46,46,14478,2264,28,249,0,1987,4,6,54,20,1559,24,171,9,52
0100223,22,22,5915,771,35,68,0,668,1,4,22,12,371,17,130,3,32
0100226,50,50,15668,3090,104,253,0,2733,6,9,57,43,1867,126,254,14,141
0100227,21,21,6792,824,20,73,0,731,2,3,15,2,435,16,190,4,34
0100229,44,44,13800,3269,175,397,0,2697,7,14,70,49,1687,120,360,7,143
