mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,consulta_30,consulta_31,consulta_32
0100001,5499,5498,1862718,576754,32020,17187,0,527547,17206,478722,31619
0100004,51,51,15644,4020,93,475,0,3452,87,3275,90
0100007,7,7,2062,704,14,37,0,653,9,631,13
0100010,15,15,4733,1024,40,85,0,899,24,833,42
0100013,78,78,24730,3452,223,234,0,2995,135,2680,180
0100016,60,60,19294,2129,84,180,0,1865,104,1645,116
0100019,115,115,36920,7049,249,456,0,6344,175,5959,210
0100022,20,20,6041,856,49,88,0,719,23,635,61
0100025,30,30,9718,959,37,113,0,809,42,716,51
0100028,45,45,13909,737,21,139,0,577,19,470,88
0100031,77,77,24242,4110,205,349,0,3556,109,3244,203
0100034,21,21,6764,1005,20,121,0,864,22,802,40
0100035,336,336,109862,14637,1383,1721,0,11533,893,9126,1514
0100037,75,75,24079,1932,87,267,0,1578,99,1284,195
0100039,25,25,6990,935,13,112,0,810,23,758,29
0100040,15,15,4667,770,29,106,0,635,18,594,23
0100043,145,145,46850,8592,590,786,0,7216,382,6218,616
0100046,20,20,5466,1389,27,115,0,1247,35,1170,42
0100049,1063,1063,368373,89027,5658,3665,0,79704,3226,71045,5433
0100052,27,27,8596,1259,46,122,0,1091,28,1038,25
0100055,45,45,14145,2209,65,256,0,1888,34,1794,60
0100058,75,75,24357,5234,201,336,0,4697,101,4446,150
0100061,28,28,8423,1035,20,189,0,826,22,728,76
0100062,25,25,7121,631,32,104,0,495,20,431,44
0100064,66,66,21504,1428,103,485,0,840,97,583,160
0100067,22,22,7301,1766,31,158,0,1577,20,1516,41
0100070,223,223,72495,18897,1361,1029,0,16507,776,14632,1099
0100073,23,23,7332,1172,34,187,0,951,27,897,27
0100076,46,46,15282,2750,65,249,0,2436,41,2334,61
0100078,17,17,4972,707,25,83,0,599,14,550,35
0100079,16,16,5098,1407,30,181,0,1196,18,1147,31
0100080,155,155,50144,6575,555,1131,0,4889,458,3762,669
0100082,141,141,45777,12882,601,484,0,11797,524,10690,583
0100085,14,14,4419,1223,57,77,0,1089,21,1012,56
0100088,248,248,78183,8478,714,1374,0,6390,608,4774,1008
0100091,39,39,12859,2580,164,301,0,2115,99,1832,184
0100094,48,48,14930,2952,77,155,0,2720,257,2365,98
0100097,14,14,4557,1362,36,126,0,1200,17,1165,18
0100100,52,52,16573,2526,57,223,0,2246,38,2124,84
0100103,241,241,77778,17428,1053,705,0,15670,621,14111,938
0100106,165,165,53823,5573,420,754,0,4399,365,3450,584
0100109,67,67,20829,1718,74,296,0,1348,33,1232,83
0100112,58,58,19149,4542,130,230,0,4182,104,3971,107
0100115,37,37,11640,2497,130,259,0,2108,51,1980,77
0100117,131,131,42682,2413,197,439,0,1777,179,1368,230
0100118,30,30,9845,2786,112,214,0,2460,87,2281,92
0100121,752,752,245614,97897,4811,2246,0,90840,2380,85209,3251
0100124,60,60,18270,3499,170,334,0,2995,114,2740,141
0100127,59,59,18464,1607,42,43,0,1522,12,1473,37
0100130,17,17,5194,968,26,96,0,846,19,779,48
0100133,173,173,57065,11495,650,515,0,10330,453,9186,691
0100136,28,28,9174,2120,102,157,0,1861,71,1698,92
0100139,32,32,10193,1882,49,104,0,1729,45,1630,54
0100140,20,20,6000,719,37,117,0,565,25,493,47
0100142,136,136,43263,14161,871,688,0,12602,576,11429,597
0100145,25,25,8236,2181,71,41,0,2069,43,1974,52
0100148,20,20,6156,978,33,87,0,858,21,798,39
0100150,17,17,5339,874,27,75,0,772,26,693,53
0100151,770,770,267367,70559,4558,2958,0,63043,2713,56235,4095
0100154,62,62,18208,896,46,78,0,772,41,674,57
0100157,42,42,13394,3964,129,284,0,3551,108,3311,132
0100160,36,36,11599,3038,121,194,0,2723,81,2571,71
0100163,183,183,59367,22281,1133,923,0,20225,839,18533,853
0100166,205,205,66476,17885,993,528,0,16364,508,15071,785
0100168,39,39,12566,1487,57,134,0,1296,64,1059,173
0100169,63,63,20261,5398,216,224,0,4958,220,4490,248
0100170,23,23,7577,923,33,59,0,831,15,787,29
0100172,31,31,9787,1540,46,117,0,1377,31,1288,58
0100175,28,28,8734,1410,47,143,0,1220,55,1077,88
0100178,159,159,51760,15957,743,645,0,14569,576,13370,623
0100181,21,21,6570,1337,48,152,0,1137,37,1040,60
0100184,13,13,3583,190,1,67,0,122,8,79,35
0100187,51,51,16692,1501,71,296,0,1134,78,920,136
0100190,30,30,9079,1695,45,212,0,1438,32,1376,30
0100191,68,68,22306,1322,54,283,0,985,86,789,110
0100192,121,121,40654,3856,162,885,0,2809,257,2249,303
0100193,10,10,3024,568,16,41,0,511,2,492,17
0100196,57,57,18759,4827,237,336,0,4254,161,3923,170
0100199,23,23,6907,1937,14,147,0,1776,14,1724,38
0100202,23,23,7578,1513,30,181,0,1302,26,1223,53
0100205,114,114,35634,3530,210,235,0,3085,147,2687,251
0100206,47,47,15461,2056,137,244,0,1675,83,1400,192
0100208,75,75,23623,1361,102,165,0,1094,60,874,160
0100211,67,67,21852,10695,363,329,0,10003,212,9580,211
0100214,390,390,128988,53162,2758,1827,0,48577,1604,45068,1905
0100217,26,26,7957,1020,23,128,0,869,16,825,28
0100218,297,297,96878,38117,1712,982,0,35423,1055,33030,1338
0100220,46,46,14478,2264,28,249,0,1987,41,1899,47
0100223,22,22,5915,771,35,68,0,668,28,592,48
0100226,50,50,15668,3090,104,253,0,2733,86,2517,130
0100227,21,21,6792,824,20,73,0,731,11,701,19
0100229,44,44,13800,3269,175,397,0,2697,95,2457,145
0100230,10,10,3330,658,17,70,0,571,18,526,27
0100231,66,66,21449,1584,37,196,0,1351,87,1146,118
0100232,40,40,12537,2531,87,131,0,2313,50,2180,83
0100235,74,74,23828,5521,229,173,0,5119,283,4677,159
0100237,94,94,30160,2131,80,289,0,1762,120,1477,165
0100238,43,43,13883,2512,106,215,0,2191,87,2004,100
0100241,51,51,16786,3969,153,437,0,3379,98,3149,132
0100244,56,56,17491,4763,155,361,0,4247,156,3938,153
0100247,73,73,22963,2421,132,84,0,2205,63,1988,154
0100250,94,94,29556,6209,325,370,0,5514,250,5044,220
0100253,33,33,9727,1547,57,46,0,1444,36,1346,62
0100256,96,96,30949,11205,459,662,0,10084,317,9388,379
0100259,101,101,33157,1806,129,210,0,1467,101,1090,276
0100262,97,97,28173,7986,311,703,0,6972,278,6494,200
0100265,45,45,13695,4181,143,361,0,3677,58,3462,157
0100268,47,47,15347,3389,165,335,0,2889,108,2655,126
0100270,81,81,25953,1269,67,265,0,937,65,700,172
0100271,19,19,6186,739,19,29,0,691,7,546,138
0100274,29,29,8829,1524,63,91,0,1370,30,1282,58
0100277,15,15,4763,605,32,64,0,509,12,455,42
0100280,301,301,100009,10575,867,2316,0,7392,918,5187,1287
0100282,22,22,6847,1058,27,116,0,915,17,864,34
0100283,82,82,26331,4653,182,559,0,3912,158,3426,328
0100286,39,39,12963,1257,71,281,0,905,49,769,87
0100289,19,19,5781,898,33,38,0,827,21,790,16
0100290,40,40,12450,1997,50,273,0,1674,37,1553,84
0100291,26,25,6970,1161,47,399,0,715,24,522,169
0100292,37,37,11608,2303,83,201,0,2019,62,1852,105
0100293,21,21,6520,871,22,118,0,731,20,664,47
0100295,115,115,35886,4201,141,146,0,3914,154,3538,222
0100298,55,55,17481,2675,85,240,0,2350,97,2124,129
0100300,52,52,16144,2160,180,236,0,1744,114,1340,290
0100301,69,69,22036,1503,86,265,0,1152,103,872,177
0300001,3648,3647,1191452,222868,24851,26941,0,171076,14402,133245,23429
0300004,165,165,53287,7259,701,1469,0,5089,629,3348,1112
0300007,74,74,23740,1527,104,239,0,1184,90,987,107
0300010,46,46,14846,1486,107,455,0,924,85,638,201
0300013,143,143,46123,6679,780,1582,0,4317,550,3057,710
0300016,60,60,19563,2946,251,618,0,2077,198,1510,369
0300019,80,80,26578,1635,106,335,0,1194,124,845,225
0300022,292,292,95348,12563,1769,2968,0,7826,1021,5204,1601
0300025,52,52,17149,1137,51,225,0,861,119,636,106
0300028,73,73,23802,2790,289,804,0,1697,237,1058,402
0300031,19,19,5949,873,47,313,0,513,45,367,101
0300034,46,46,15079,1566,156,431,0,979,137,620,222
0300035,63,63,21208,2101,239,457,0,1405,159,990,256
0300037,121,121,39265,7995,780,1223,0,5992,601,4289,1102
0300040,70,70,22515,1664,133,369,0,1162,153,779,230
0300043,81,81,26445,3414,415,779,0,2220,223,1558,439
0300046,236,236,76785,12272,1431,2548,0,8293,836,5278,2179
0300047,41,41,13524,825,57,122,0,646,43,506,97
0300049,87,87,27778,3383,331,434,0,2618,495,1685,438
0300052,1049,1049,340919,44809,5717,7525,0,31567,3745,22166,5656
0300055,36,36,11925,868,44,177,0,647,50,485,112
0300058,35,35,10767,809,98,134,0,577,72,393,112
0300061,28,28,9088,785,89,161,0,535,50,350,135
0500001,2641,2641,865352,130969,14631,19723,0,96615,9325,73629,13661
0500004,63,63,18977,2581,56,507,0,2018,99,1566,353
0500005,25,25,7059,346,20,58,0,268,22,213,33
0500006,27,27,8527,359,8,83,0,268,10,226,32
0500007,175,175,60230,5774,675,1329,0,3770,441,2835,494
0500009,33,33,10528,476,18,61,0,397,25,327,45
0500010,41,41,13138,703,34,116,0,553,22,410,121
0500013,64,64,21137,1256,109,236,0,911,77,664,170
0500014,26,26,8337,805,74,190,0,541,51,394,96
0500015,36,36,11730,595,38,88,0,469,24,304,141
0500016,49,49,15570,1816,79,609,0,1128,86,847,195
0500018,41,41,13098,1132,86,320,0,726,74,556,96
0500022,197,197,62634,6151,516,725,0,4910,278,3584,1048
