mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_30_000001|CLAUDIA NAYIBE LOPEZ HERNANDEZ,cand_30_000002|LEONARDO HUMBERTO HUERTA GUTIERREZ
0100001,5499,5498,1862718,576754,32020,17187,0,527547,16058,1148
0100004,51,51,15644,4020,93,475,0,3452,79,8
0100007,7,7,2062,704,14,37,0,653,6,3
0100010,15,15,4733,1024,40,85,0,899,24,0
0100013,78,78,24730,3452,223,234,0,2995,126,9
0100016,60,60,19294,2129,84,180,0,1865,90,14
0100019,115,115,36920,7049,249,456,0,6344,156,19
0100022,20,20,6041,856,49,88,0,719,22,1
0100025,30,30,9718,959,37,113,0,809,40,2
0100028,45,45,13909,737,21,139,0,577,17,2
0100031,77,77,24242,4110,205,349,0,3556,101,8
0100034,21,21,6764,1005,20,121,0,864,21,1
0100035,336,336,109862,14637,1383,1721,0,11533,818,75
0100037,75,75,24079,1932,87,267,0,1578,92,7
0100039,25,25,6990,935,13,112,0,810,21,2
0100040,15,15,4667,770,29,106,0,635,14,4
0100043,145,145,46850,8592,590,786,0,7216,355,27
0100046,20,20,5466,1389,27,115,0,1247,33,2
0100049,1063,1063,368373,89027,5658,3665,0,79704,2997,229
0100052,27,27,8596,1259,46,122,0,1091,25,3
0100055,45,45,14145,2209,65,256,0,1888,31,3
0100058,75,75,24357,5234,201,336,0,4697,88,13
0100061,28,28,8423,1035,20,189,0,826,18,4
0100062,25,25,7121,631,32,104,0,495,19,1
0100064,66,66,21504,1428,103,485,0,840,86,11
0100067,22,22,7301,1766,31,158,0,1577,16,4
0100070,223,223,72495,18897,1361,1029,0,16507,726,50
0100073,23,23,7332,1172,34,187,0,951,27,0
0100076,46,46,15282,2750,65,249,0,2436,33,8
0100078,17,17,4972,707,25,83,0,599,13,1
0100079,16,16,5098,1407,30,181,0,1196,13,5
0100080,155,155,50144,6575,555,1131,0,4889,421,37
0100082,141,141,45777,12882,601,484,0,11797,491,33
0100085,14,14,4419,1223,57,77,0,1089,18,3
0100088,248,248,78183,8478,714,1374,0,6390,568,40
0100091,39,39,12859,2580,164,301,0,2115,90,9
0100094,48,48,14930,2952,77,155,0,2720,49,208
0100097,14,14,4557,1362,36,126,0,1200,16,1
0100100,52,52,16573,2526,57,223,0,2246,35,3
0100103,241,241,77778,17428,1053,705,0,15670,581,40
0100106,165,165,53823,5573,420,754,0,4399,336,29
0100109,67,67,20829,1718,74,296,0,1348,28,5
0100112,58,58,19149,4542,130,230,0,4182,99,5
0100115,37,37,11640,2497,130,259,0,2108,45,6
0100117,131,131,42682,2413,197,439,0,1777,152,27
0100118,30,30,9845,2786,112,214,0,2460,80,7
0100121,752,752,245614,97897,4811,2246,0,90840,2180,200
0100124,60,60,18270,3499,170,334,0,2995,107,7
0100127,59,59,18464,1607,42,43,0,1522,12,0
0100130,17,17,5194,968,26,96,0,846,19,0
0100133,173,173,57065,11495,650,515,0,10330,414,39
0100136,28,28,9174,2120,102,157,0,1861,58,13
0100139,32,32,10193,1882,49,104,0,1729,40,5
0100140,20,20,6000,719,37,117,0,565,23,2
0100142,136,136,43263,14161,871,688,0,12602,541,35
0100145,25,25,8236,2181,71,41,0,2069,42,1
0100148,20,20,6156,978,33,87,0,858,18,3
0100150,17,17,5339,874,27,75,0,772,23,3
0100151,770,770,267367,70559,4558,2958,0,63043,2515,198
0100154,62,62,18208,896,46,78,0,772,36,5
0100157,42,42,13394,3964,129,284,0,3551,98,10
0100160,36,36,11599,3038,121,194,0,2723,73,8
0100163,183,183,59367,22281,1133,923,0,20225,792,47
0100166,205,205,66476,17885,993,528,0,16364,464,44
0100168,39,39,12566,1487,57,134,0,1296,60,4
0100169,63,63,20261,5398,216,224,0,4958,211,9
0100170,23,23,7577,923,33,59,0,831,14,1
0100172,31,31,9787,1540,46,117,0,1377,29,2
0100175,28,28,8734,1410,47,143,0,1220,48,7
0100178,159,159,51760,15957,743,645,0,14569,546,30
0100181,21,21,6570,1337,48,152,0,1137,34,3
0100184,13,13,3583,190,1,67,0,122,8,0
0100187,51,51,16692,1501,71,296,0,1134,68,10
0100190,30,30,9079,1695,45,212,0,1438,27,5
0100191,68,68,22306,1322,54,283,0,985,78,8
0100192,121,121,40654,3856,162,885,0,2809,237,20
0100193,10,10,3024,568,16,41,0,511,2,0
0100196,57,57,18759,4827,237,336,0,4254,150,11
0100199,23,23,6907,1937,14,147,0,1776,10,4
0100202,23,23,7578,1513,30,181,0,1302,26,0
0100205,114,114,35634,3530,210,235,0,3085,139,8
0100206,47,47,15461,2056,137,244,0,1675,76,7
0100208,75,75,23623,1361,102,165,0,1094,55,5
0100211,67,67,21852,10695,363,329,0,10003,204,8
0100214,390,390,128988,53162,2758,1827,0,48577,1511,93
0100217,26,26,7957,1020,23,128,0,869,14,2
0100218,297,297,96878,38117,1712,982,0,35423,998,57
0100220,46,46,14478,2264,28,249,0,1987,39,2
0100223,22,22,5915,771,35,68,0,668,27,1
0100226,50,50,15668,3090,104,253,0,2733,79,7
0100227,21,21,6792,824,20,73,0,731,11,0
0100229,44,44,13800,3269,175,397,0,2697,78,17
0100230,10,10,3330,658,17,70,0,571,15,3
0100231,66,66,21449,1584,37,196,0,1351,83,4
0100232,40,40,12537,2531,87,131,0,2313,48,2
0100235,74,74,23828,5521,229,173,0,5119,256,27
0100237,94,94,30160,2131,80,289,0,1762,116,4
0100238,43,43,13883,2512,106,215,0,2191,76,11
0100241,51,51,16786,3969,153,437,0,3379,95,3
0100244,56,56,17491,4763,155,361,0,4247,146,10
0100247,73,73,22963,2421,132,84,0,2205,62,1
0100250,94,94,29556,6209,325,370,0,5514,233,17
0100253,33,33,9727,1547,57,46,0,1444,33,3
0100256,96,96,30949,11205,459,662,0,10084,293,24
0100259,101,101,33157,1806,129,210,0,1467,90,11
0100262,97,97,28173,7986,311,703,0,6972,256,22
0100265,45,45,13695,4181,143,361,0,3677,54,4
0100268,47,47,15347,3389,165,335,0,2889,101,7
0100270,81,81,25953,1269,67,265,0,937,57,8
0100271,19,19,6186,739,19,29,0,691,7,0
0100274,29,29,8829,1524,63,91,0,1370,27,3
0100277,15,15,4763,605,32,64,0,509,10,2
0100280,301,301,100009,10575,867,2316,0,7392,829,89
0100282,22,22,6847,1058,27,116,0,915,14,3
0100283,82,82,26331,4653,182,559,0,3912,150,8
0100286,39,39,12963,1257,71,281,0,905,45,4
0100289,19,19,5781,898,33,38,0,827,20,1
0100290,40,40,12450,1997,50,273,0,1674,30,7
0100291,26,25,6970,1161,47,399,0,715,20,4
0100292,37,37,11608,2303,83,201,0,2019,50,12
0100293,21,21,6520,871,22,118,0,731,15,5
0100295,115,115,35886,4201,141,146,0,3914,145,9
0100298,55,55,17481,2675,85,240,0,2350,89,8
0100300,52,52,16144,2160,180,236,0,1744,100,14
0100301,69,69,22036,1503,86,265,0,1152,93,10
0300001,3648,3647,1191452,222868,24851,26941,0,171076,12564,1838
0300004,165,165,53287,7259,701,1469,0,5089,547,82
0300007,74,74,23740,1527,104,239,0,1184,82,8
0300010,46,46,14846,1486,107,455,0,924,75,10
0300013,143,143,46123,6679,780,1582,0,4317,483,67
0300016,60,60,19563,2946,251,618,0,2077,175,23
0300019,80,80,26578,1635,106,335,0,1194,107,17
0300022,292,292,95348,12563,1769,2968,0,7826,870,151
0300025,52,52,17149,1137,51,225,0,861,111,8
0300028,73,73,23802,2790,289,804,0,1697,198,39
0300031,19,19,5949,873,47,313,0,513,34,11
0300034,46,46,15079,1566,156,431,0,979,114,23
0300035,63,63,21208,2101,239,457,0,1405,139,20
0300037,121,121,39265,7995,780,1223,0,5992,543,58
0300040,70,70,22515,1664,133,369,0,1162,128,25
0300043,81,81,26445,3414,415,779,0,2220,191,32
0300046,236,236,76785,12272,1431,2548,0,8293,708,128
0300047,41,41,13524,825,57,122,0,646,37,6
0300049,87,87,27778,3383,331,434,0,2618,465,30
0300052,1049,1049,340919,44809,5717,7525,0,31567,3213,532
0300055,36,36,11925,868,44,177,0,647,40,10
0300058,35,35,10767,809,98,134,0,577,68,4
0300061,28,28,9088,785,89,161,0,535,47,3
0500001,2641,2641,865352,130969,14631,19723,0,96615,8201,1124
0500004,63,63,18977,2581,56,507,0,2018,86,13
0500005,25,25,7059,346,20,58,0,268,17,5
0500006,27,27,8527,359,8,83,0,268,9,1
0500007,175,175,60230,5774,675,1329,0,3770,377,64
0500009,33,33,10528,476,18,61,0,397,20,5
0500010,41,41,13138,703,34,116,0,553,19,3
0500013,64,64,21137,1256,109,236,0,911,69,8
0500014,26,26,8337,805,74,190,0,541,45,6
0500015,36,36,11730,595,38,88,0,469,22,2
0500016,49,49,15570,1816,79,609,0,1128,73,13
0500018,41,41,13098,1132,86,320,0,726,66,8
0500022,197,197,62634,6151,516,725,0,4910,236,42
0500025,28,28,8386,955,28,300,0,627,39,5
0500026,39,39,12501,827,36,122,0,669,24,1
0500027,22,22,6872,402,13,37,0,352,9,0
0500028,322,322,106180,12500,1363,2519,0,8618,813,90
0500031,69,69,23021,2167,136,634,0,1397,131,35
0500037,35,35,10645,479,20,24,0,435,16,3
0500040,142,141,45577,3111,290,909,0,1912,235,25
0500041,38,38,10814,1025,31,237,0,757,41,10
0500043,130,130,40405,3280,257,631,0,2392,142,19
0500044,44,44,13126,877,62,137,0,678,33,2
0500050,20,20,5332,188,11,17,0,160,8,1
0500059,66,66,19357,998,36,170,0,792,28,7
0500063,20,20,5710,237,25,40,0,172,7,1
0500065,25,25,7079,493,34,37,0,422,27,3
0500070,49,49,16593,1020,85,192,0,743,63,12
0500072,25,25,8168,493,68,94,0,331,25,2
0500073,36,36,10290,389,22,60,0,307,10,0
0500076,72,72,22377,2213,224,291,0,1698,117,18
0500078,25,25,7533,657,17,124,0,516,33,6
0500079,105,105,33286,3250,273,543,0,2434,142,33
0500082,41,41,13104,784,39,153,0,592,36,10
0500084,68,68,21201,1582,99,326,0,1157,83,29
0500091,43,43,14322,902,74,249,0,579,45,6
0500094,53,53,17470,1300,117,333,0,850,90,23
0500095,89,89,27650,4298,271,694,0,3333,189,31
0500097,51,51,14135,1312,99,249,0,964,57,5
0500106,27,27,9016,692,72,175,0,445,43,8
0500110,35,35,10684,1018,49,167,0,802,45,4
0500113,52,52,15502,730,38,166,0,526,21,3
0500118,220,220,76485,11375,1568,2116,0,7691,822,91
0500121,53,53,17049,1608,162,424,0,1022,97,24
0500124,55,55,17795,1739,162,440,0,1137,108,29
0500127,32,32,10186,427,33,185,0,209,10,6
0700001,424,424,141698,47115,3695,1253,0,42167,4834,164
0700007,7,7,2014,270,14,14,0,242,16,0
0700008,47,47,13225,1871,131,178,0,1562,129,12
0700010,16,16,5254,742,51,25,0,666,51,2
0700013,22,22,7090,1873,133,111,0,1629,209,5
0700016,5,5,1509,299,11,33,0,255,14,1
0700019,7,7,1976,458,26,33,0,399,55,1
0700022,17,17,5047,1221,74,107,0,1040,104,3
0700025,14,14,4600,757,50,87,0,620,73,9
0700028,8,8,2497,539,20,41,0,478,28,0
0700031,17,17,5079,1064,50,115,0,899,52,6
0700034,4,4,1010,300,15,23,0,262,22,0
0700037,13,13,3292,581,32,18,0,531,53,1
0700040,9,9,2454,437,18,23,0,396,20,1
0700043,12,12,3685,699,39,22,0,638,77,3
0700046,12,12,3947,883,35,81,0,767,65,4
0700049,32,32,10139,2447,218,170,0,2059,370,12
0700052,13,13,3291,581,32,80,0,469,15,1
0700055,8,8,2424,761,46,46,0,669,53,3
0700058,12,12,3433,793,13,78,0,702,20,2
0700059,23,23,7044,608,61,120,0,427,44,4
0700060,11,11,3473,743,66,63,0,614,175,8
0700061,6,6,1904,486,23,40,0,423,46,2
0700064,10,10,3145,799,42,60,0,697,61,2
0700067,139,139,44576,11704,938,552,0,10214,1171,30
0700068,16,16,4800,844,87,124,0,633,85,5
0700070,0,0,0,0,0,0,0,0,0,0
0700073,24,24,6500,1123,44,129,0,950,26,9
0700076,19,19,5881,1242,35,79,0,1128,47,2
0700077,10,10,3338,817,53,62,0,702,105,0
0700078,7,7,1851,548,25,43,0,480,15,1
0700079,287,287,97678,29314,2333,911,0,26070,3497,82
0700082,12,12,3486,706,31,74,0,601,31,2
0700085,8,8,2289,701,16,44,0,641,8,1
