mpio_reg_code_7,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,mesas_total,mesas_escrutadas,cand_cepeda,cand_valencia,cand_delaespriella,cand_claudialopez,cand_barreras,cand_fajardo,cand_caicedo,cand_lizcano,cand_uribe,cand_botero,cand_macollins,cand_matamoros,cand_murillo
0100001,1891862,993227,8764,1697,18595,982766,5329,4313,238992,81874,543146,3946,409,84681,273,1172,1036,7397,605,176,464
0100004,15398,4282,44,35,60,4203,48,30,485,961,2384,25,6,179,3,9,16,58,12,4,1
0100007,2029,1097,18,2,16,1077,7,7,102,319,592,4,3,26,0,1,2,8,3,0,1
0100010,4743,2760,14,22,30,2724,14,14,389,312,1811,2,1,114,2,8,3,48,3,0,1
0100013,24772,10597,176,40,287,10381,74,61,3165,793,5160,39,8,567,10,30,14,281,13,1,13
0100016,19004,6144,56,37,189,6051,56,50,1002,537,3764,38,27,285,2,17,26,137,14,2,11
0100019,36323,17719,117,51,246,17551,111,111,2566,3583,10148,52,13,584,13,19,45,243,17,13,9
0100022,5986,1819,31,7,52,1781,19,13,401,210,933,9,3,91,2,4,1,71,3,0,1
0100025,9462,3099,88,62,113,2949,28,24,504,510,1503,27,8,151,3,18,25,67,18,2,0
0100028,13703,3747,26,29,141,3692,43,41,1251,210,1779,8,8,152,5,14,14,98,10,2,0
0100031,24438,11162,137,61,287,10964,75,68,2982,1534,5337,48,2,533,7,19,30,163,12,1,9
0100034,6689,2378,20,20,42,2338,20,17,323,367,1458,6,5,61,0,6,7,55,6,0,2
0100035,109813,49093,356,112,1239,48625,323,293,28680,1859,14935,127,21,1262,24,79,30,301,37,6,25
0100037,23451,7161,29,28,69,7104,72,56,2926,312,3582,13,6,97,3,20,8,44,12,10,2
0100039,6827,3202,18,20,41,3164,23,23,334,670,1946,8,15,56,2,8,9,52,11,2,10
0100040,4586,2149,22,25,30,2102,14,13,376,378,1211,9,1,52,0,4,6,30,4,0,1
0100043,46982,23395,444,103,648,22848,138,132,6584,2583,11082,138,26,1328,10,35,47,312,33,8,14
0100046,5419,2771,26,16,69,2729,19,19,351,448,1611,25,6,159,2,3,16,34,4,0,1
0100049,379595,192341,1974,294,3921,190073,1043,890,52923,15682,98420,957,75,15428,68,250,216,1883,124,27,99
0100052,8406,3496,26,18,53,3452,25,24,470,461,2246,9,7,114,1,5,10,68,3,2,3
0100055,13811,4621,49,39,82,4533,42,35,501,783,2878,7,8,120,2,10,13,115,10,1,3
0100058,23887,10219,90,43,160,10086,71,61,1416,1548,6447,24,4,273,6,12,14,158,16,2,6
0100061,8556,2086,17,6,74,2063,27,16,662,208,1005,10,3,63,0,0,3,33,2,0,0
0100062,6833,1888,50,22,58,1816,23,23,437,131,1022,16,4,62,2,10,6,52,11,4,1
0100064,21081,4323,49,20,109,4254,64,46,2401,141,1408,29,12,43,5,14,4,74,8,0,6
0100067,7295,3096,58,30,71,3008,21,21,493,832,1363,4,6,133,2,5,21,59,15,0,4
0100070,73226,45430,782,113,1064,44535,213,204,12729,4186,21501,222,31,4109,17,69,53,485,33,7,29
0100073,7196,1971,26,13,61,1932,22,21,413,202,1075,18,2,89,1,9,5,44,6,3,4
0100076,14948,6737,44,34,98,6659,43,39,961,1535,3783,11,3,156,1,13,6,82,4,2,4
0100078,4855,1991,15,11,29,1965,16,16,445,248,1129,13,4,41,1,3,6,43,1,0,2
0100079,4966,1938,20,8,25,1910,16,13,315,503,949,1,1,79,1,0,3,30,3,0,0
0100080,49440,18264,151,66,491,18047,149,127,10301,801,5712,55,9,418,5,36,21,177,14,0,7
0100082,47585,33146,366,77,544,32703,141,134,7359,3031,18390,153,21,2691,11,50,59,341,39,3,11
0100085,4309,1773,18,7,39,1748,13,10,369,221,982,8,2,100,2,4,4,8,4,0,5
0100088,77720,35925,457,128,941,35340,232,223,17988,993,13895,147,35,742,28,73,52,380,44,9,13
0100091,12820,6529,84,27,153,6418,37,36,1594,743,3449,23,5,290,5,8,4,134,7,3,0
0100094,14802,8307,64,66,102,8177,46,43,960,1040,5582,23,12,239,8,28,26,122,23,6,6
0100097,4565,2761,24,17,42,2720,13,13,278,342,1902,16,4,101,3,5,4,17,5,1,0
0100100,16331,6872,66,42,163,6764,49,49,901,1054,4234,30,14,154,5,14,29,133,26,3,4
0100103,77843,44777,538,66,927,44173,227,220,12815,3522,22282,193,13,3819,13,46,58,423,18,9,35
0100106,53621,19428,180,75,505,19173,155,124,10240,758,6731,67,20,498,19,45,25,236,20,5,4
0100109,20588,7842,88,52,144,7702,64,64,2923,511,3711,25,5,187,9,14,17,135,14,3,4
0100112,19227,9043,112,38,212,8893,55,51,1116,933,5955,39,8,443,7,19,21,118,13,4,5
0100115,11353,5223,60,29,89,5134,35,33,873,828,3021,22,8,151,4,14,17,86,9,3,9
0100117,42597,13919,293,130,414,13496,124,124,6230,507,5608,49,21,292,9,41,39,248,20,6,12
0100118,9822,3113,33,9,83,3071,28,16,460,275,1926,13,1,267,0,4,2,34,5,0,1
0100121,244817,154178,852,164,1765,153162,711,671,22594,13977,100026,528,34,13241,28,112,106,583,66,56,46
0100124,18044,6860,94,43,123,6723,57,46,1553,1092,3504,29,16,242,1,20,16,107,10,5,5
0100127,18187,5477,66,31,129,5380,58,48,1621,600,2682,26,9,191,3,12,17,73,14,0,3
0100130,5222,2245,15,6,47,2224,17,14,703,232,1122,2,0,86,0,0,5,26,1,0,0
0100133,56839,24975,371,51,557,24553,165,127,6502,2287,12711,112,8,1860,15,107,46,301,32,2,13
0100136,9103,4741,66,20,118,4655,27,27,691,520,2944,24,4,241,2,12,15,70,11,1,2
0100139,9972,5677,37,26,52,5614,30,29,577,393,4297,18,5,175,4,9,15,38,8,3,20
0100140,5866,1852,31,8,68,1813,19,16,666,128,839,13,1,67,1,4,6,15,4,1,0
0100142,45144,27452,294,56,492,27102,135,116,5382,2545,16115,146,29,2034,11,31,48,234,21,3,11
0100145,8412,4646,25,10,56,4611,24,19,656,579,2984,14,3,270,2,7,3,32,2,0,3
0100148,6090,2758,34,20,61,2704,19,18,554,532,1394,6,4,82,3,3,10,42,5,3,5
0100150,5262,2620,12,15,33,2593,16,16,476,267,1620,14,3,114,1,8,11,42,1,1,2
0100151,267999,154068,1589,190,2766,152289,737,696,37208,11453,85235,642,71,12930,45,181,166,1356,91,38,107
0100154,17661,4765,111,74,226,4580,59,56,1480,469,1946,53,12,174,13,17,29,121,19,11,10
0100157,13380,5521,38,13,96,5470,39,26,1283,676,3010,19,6,308,0,5,7,55,4,0,1
0100160,11478,5503,65,22,92,5416,34,27,924,791,3297,17,8,191,6,10,10,56,9,1,4
0100163,61559,40316,407,100,582,39809,181,157,7345,3855,23579,201,20,3715,16,63,58,323,32,8,12
0100166,66893,34820,367,45,600,34408,197,163,8117,3486,18705,117,5,2944,10,37,37,311,17,5,17
0100168,12258,5334,59,20,68,5255,38,35,2473,484,1941,13,5,156,5,8,5,88,5,1,3
0100169,20530,13885,163,40,289,13682,60,59,2340,2079,7334,78,11,1243,5,29,34,195,30,7,8
0100170,7480,2634,34,8,61,2592,22,16,852,240,1307,7,4,66,1,4,4,40,5,0,1
0100172,9604,4861,33,20,59,4808,30,30,700,735,3029,21,10,170,0,4,14,58,5,0,3
0100175,8739,4441,47,15,71,4379,27,27,867,653,2517,11,1,132,3,11,12,92,7,0,2
0100178,53575,34686,279,70,451,34337,156,141,6334,3231,20961,156,19,2727,19,46,47,296,31,2,17
0100181,6533,2409,29,24,42,2356,20,15,477,570,1102,6,3,93,5,8,8,31,8,0,3
0100184,3612,549,1,8,1,540,13,6,508,8,10,3,0,3,3,0,0,4,0,0,0
0100187,16472,5876,56,39,101,5781,48,48,3065,226,2151,18,3,80,8,14,9,102,3,1,0
0100190,8793,3638,21,23,47,3594,29,28,299,780,2283,8,6,55,7,13,12,53,18,2,11
0100191,22120,5805,42,19,97,5744,66,61,2172,299,2988,22,4,56,6,17,14,56,7,2,4
0100192,40425,10663,85,70,195,10508,119,81,4040,720,5186,57,11,127,6,33,20,88,16,2,7
0100193,3003,1440,8,5,22,1427,10,9,244,265,818,3,1,38,0,2,3,25,6,0,0
0100196,18903,7155,56,17,80,7082,54,33,948,768,4760,30,8,368,4,16,13,70,12,0,5
0100199,6756,1719,6,14,34,1699,22,14,525,379,677,6,4,35,0,2,6,22,4,1,4
0100202,7431,3650,27,12,38,3611,21,21,569,568,2251,14,5,101,3,7,12,36,5,0,2
0100205,34906,14453,190,54,309,14209,107,103,5318,632,7157,67,11,368,7,28,22,259,16,9,6
0100206,15284,6371,74,36,124,6261,47,39,1722,371,3647,18,3,178,2,9,6,176,1,0,4
0100208,23910,8062,103,41,302,7918,72,72,3584,294,3066,44,12,323,12,19,13,222,16,4,7
0100211,23005,16567,77,28,153,16462,67,63,1981,2669,10638,49,5,833,6,10,10,92,11,0,5
0100214,135018,88317,758,97,1168,87462,392,345,15709,11383,51624,328,23,6382,25,63,81,573,38,33,32
0100217,7850,2853,17,11,48,2825,24,20,416,507,1684,8,2,64,5,4,18,55,10,1,3
0100218,99546,55327,283,40,691,55004,289,230,9430,5079,33793,181,10,5445,8,31,30,267,19,3,17
0100220,14228,5823,42,29,56,5752,43,43,454,921,4025,17,6,135,5,10,12,103,5,1,2
0100223,5751,2335,57,41,107,2237,21,21,427,265,1202,26,3,100,3,12,20,52,15,1,4
0100226,15633,6862,38,18,84,6806,48,38,1202,846,4271,25,5,250,1,7,11,99,3,0,2
0100227,6600,2744,20,22,24,2702,19,18,426,422,1659,7,6,89,3,3,7,44,6,0,6
0100229,13854,7670,76,28,145,7566,42,42,1463,983,4532,34,8,249,3,6,17,114,10,1,1
0100230,3273,1391,15,9,50,1367,10,9,181,160,797,7,3,115,2,3,1,44,3,0,1
0100231,21117,6933,18,25,105,6890,64,59,2780,623,3158,19,12,73,4,12,15,57,17,5,10
0100232,12362,5772,29,13,51,5730,38,33,896,505,3888,10,10,230,3,3,5,117,7,1,4
0100235,24029,10796,147,16,290,10633,71,52,1649,1199,6395,45,6,839,2,15,12,166,11,1,3
0100237,29573,9317,57,45,173,9215,90,75,2404,742,5542,42,8,134,4,13,22,91,20,13,7
0100238,13798,7303,76,37,105,7190,41,40,1198,1074,4216,33,8,386,3,15,16,113,15,1,7
0100241,16675,8576,70,53,127,8453,50,50,1201,1987,4664,27,18,241,1,11,13,147,11,3,2
0100244,17686,8843,69,36,123,8738,54,42,973,1281,5656,50,15,444,10,16,32,107,18,2,11
0100247,22612,10864,153,47,212,10664,69,64,2681,1312,5613,44,13,546,3,18,24,178,18,0,2
0100250,29562,16727,300,116,431,16311,91,88,2341,2917,9005,112,17,1132,10,35,45,214,37,5,10
0100253,9634,4562,56,23,83,4483,32,28,756,834,2487,17,14,170,3,18,16,73,6,1,5
0100256,31144,19151,123,52,220,18976,91,79,1862,1516,13999,66,9,1059,13,22,27,147,24,2,10
0100259,33611,11758,159,51,512,11548,99,97,6220,428,3470,52,10,433,7,24,17,334,12,10,19
0100262,28172,13918,174,63,193,13681,95,79,1426,3363,7742,81,13,547,17,19,45,204,22,3,6
