mpio_reg_code_7,error
1200750,404
1500208,404
2700112,404
1900070,404
8800330,404
0700292,404
2400013,404
0700301,404
2400025,404
1200720,404
1500205,404
6000040,404
2900097,404
0100220,404
0100218,404
0500124,404
2900100,404
2400021,404
2700115,404
0100223,404
0700001,404
4800013,404
0500127,404
4800012,404
0700298,404
1900067,404
8800760,404
1500211,404
1200800,404
1900074,404
2700118,404
2900103,404
0700007,404
1900076,404
0700304,404
0100226,404
2700119,404
2400029,404
4800016,404
2900105,404
5200059,404
7200006,404
1200825,404
4800018,404
0100227,404
0700008,404
8800505,404
0100229,404
1500217,404
1900079,404
2400038,404
4800020,404
2700120,404
2900106,404
1200850,404
1200875,404
0700010,404
0700307,404
0700310,404
1500214,404
2900109,404
8800335,404
0100230,404
1300001,404
8800765,404
1500220,404
2700121,404
0100231,404
6400001,404
0700313,404
2900112,404
0700013,404
5000001,404
1500218,404
1900082,404
1500223,404
5000070,404
1900085,404
0700016,404
2700127,404
2400046,404
1900088,404
2400062,404
0700311,404
2900115,404
2700124,404
5000073,404
1200900,404
2400054,404
0100232,404
0700316,404
0700019,404
2400070,404
7200008,404
8800515,404
5200060,404
5000078,404
2700130,404
1500226,404
0100001,404
2900118,404
1900091,404
1300004,404
1300009,404
2400078,404
2700133,404
1300007,404
5200043,404
1500229,404
2900121,404
0100237,404
2100001,404
0100235,404
1900094,404
0700322,404
0700022,404
0700319,404
0700025,404
1500232,404
2700136,404
2400086,404
2900124,404
5000087,404
0100238,404
2100008,404
2400094,404
0700324,404
1500235,404
1300010,404
8800340,404
8800770,404
2900127,404
5000090,404
0700031,404
0100241,404
0700325,404
2700139,404
6400002,404
1300013,404
5000092,404
0100244,404
0700328,404
1500238,404
2100010,404
3100001,404
2700142,404
0700028,404
2500001,404
0700034,404
1500239,404
1300014,404
2500004,404
2100012,404
5200001,404
0700040,404
0700334,404
2500007,404
2100015,404
8800115,404
3100004,404
2700145,404
0100247,404
0700037,404
8800535,404
3100007,404
1300016,404
1500241,404
2100013,404
0100250,404
5200005,404
1500244,404
2700148,404
3100010,404
5200074,404
2500010,404
2700151,404
1300019,404
0700331,404
5200006,404
6400004,404
0100253,404
0700043,404
0700337,404
1500247,404
2500013,404
1300020,404
8800350,404
5200008,404
2700154,404
8800785,404
3100013,404
