puesto_code,puesto_name,num_mesas,dept_reg_code,dept_name,mpio_reg_code_7,mpio_name,zona_code,zona_name,is_exterior
1600001120031,11 DE NOVIEMBRE,2,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000112,ZONA12,False
1600001120011,12 DE OCTUBRE,13,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000112,ZONA12,False
1600001040028,20 DE JULIO SEDE A,30,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000104,ZONA04,False
1600001060003,ABRAHAM LINCOLN,13,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000106,ZONA06,False
2800048990090,ABRE EL OJO,1,2800,SUCRE,2800048,GALERAS (NUEVA GRANADA),280004899,ZONA99,False
1300014990001,ABROJAL,3,1300,CORDOBA,1300014,COTORRA (BONGO),130001499,ZONA99,False
3100001020005,ACADEMIA DE DIBUJO PROFESIONAL,30,3100,VALLE,3100001,CALI,310000102,ZONA02,False
3100001280004,ACADEMIA JOSE MARIA CABAL,13,3100,VALLE,3100001,CALI,310000128,ZONA28,False
5200001140002,ACADEMIA MILITAR JOSE ANTONIO PAEZ,18,5200,META,5200001,VILLAVICENCIO,520000114,ZONA14,False
2700091990002,ACAPULCO,5,2700,SANTANDER,2700091,GIRON,270009199,ZONA99,False
6800001990002,ACARICUARA,2,6800,VAUPES,6800001,MITU,680000199,ZONA99,False
7200001990005,ACEITICO,1,7200,VICHADA,7200001,PUERTO CARREÑO,720000199,ZONA99,False
1600001130023,ACEVEDO TEJADA,7,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000113,ZONA13,False
2800160990005,ACHIOTE,4,2800,SUCRE,2800160,SAMPUES,280016099,ZONA99,False
2900091990001,ACO,1,2900,TOLIMA,2900091,PRADO,290009199,ZONA99,False
1700013990001,ACOSO,1,1700,CHOCO,1700013,CONDOTO,170001399,ZONA99,False
1600001090029,ACUNAR,10,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000109,ZONA09,False
2500093990007,AEROPUERTO LA PISTA,2,2500,NORTE DE SAN,2500093,TIBU,250009399,ZONA99,False
0900001990005,AGROTURISTICO EL TABLAZO,13,0900,CALDAS,0900001,MANIZALES,090000199,ZONA99,False
2100010990005,AGUA BENDITA,1,2100,MAGDALENA,2100010,ARACATACA,210001099,ZONA99,False
2500043990004,AGUA BLANCA,2,2500,NORTE DE SAN,2500043,HACARI,250004399,ZONA99,False
4400016990026,AGUA BLANCA,1,4400,CAQUETA,4400016,MILAN,440001699,ZONA99,False
0900055990001,AGUA BONITA,2,0900,CALDAS,0900055,MANZANARES,090005599,ZONA99,False
0900085990002,AGUA BONITA,1,0900,CALDAS,0900085,PENSILVANIA,090008599,ZONA99,False
1500241990001,AGUA BONITA,4,1500,CUNDINAMARCA,1500241,SILVANIA,150024199,ZONA99,False
1700006990086,AGUA CLARA,1,1700,CHOCO,1700006,ALTO BAUDO (PIE DE PATO),170000699,ZONA99,False
2300016990002,AGUA CLARA,1,2300,NARIÑO,2300016,BARBACOAS,230001699,ZONA99,False
1100043990001,AGUA CLARA (GOLONDRO),2,1100,CAUCA,1100043,LOPEZ (MICAY),110004399,ZONA99,False
1100087990002,AGUA CLARA CANELAR,4,1100,CAUCA,1100087,SUAREZ,110008799,ZONA99,False
1100091990086,AGUA CLARITA,1,1100,CAUCA,1100091,TIMBIQUI,110009199,ZONA99,False
2500061990005,AGUA DE LA VIRGEN,3,2500,NORTE DE SAN,2500061,OCAÑA,250006199,ZONA99,False
