mesa_code,puesto_code,error
1700001010005000001,1700001010005,Server disconnected
0700008000001000016,0700008000001,Server disconnected
1200825000000000043,1200825000000,Server disconnected
1500247020008000002,1500247020008,Expecting value: line 1 column 1 (char 0)
3100001250003000006,3100001250003,HTTP 500
3100001180004000020,3100001180004,Expecting value: line 1 column 1 (char 0)
3100001250003000022,3100001250003,Server disconnected
2700019040007000006,2700019040007,Server disconnected
1300009000000000024,1300009000000,Server disconnected
0500001140001000005,0500001140001,Server disconnected
0900124010001000012,0900124010001,Server disconnected
0500001140001000033,0500001140001,Expecting value: line 1 column 1 (char 0)
3100001150004000009,3100001150004,Server disconnected
16000010800A9000002,16000010800A9,Expecting value: line 1 column 1 (char 0)
2800001010001000009,2800001010001,Expecting value: line 1 column 1 (char 0)
1600001080064000004,1600001080064,Expecting value: line 1 column 1 (char 0)
1100025990043000003,1100025990043,HTTP 500
0500001140002000026,0500001140002,HTTP 500
1600001100013000007,1600001100013,Server disconnected
1500064000001000025,1500064000001,HTTP 500
1600001120015000003,1600001120015,HTTP 500
1500217000002000001,1500217000002,Server disconnected
1500094010007000006,1500094010007,Expecting value: line 1 column 1 (char 0)
1300052000000000012,1300052000000,Server disconnected
1100025990042000002,1100025990042,Server disconnected
0300052050001000006,0300052050001,Server disconnected
1500007000000000013,1500007000000,Expecting value: line 1 column 1 (char 0)
1600001040014000025,1600001040014,Expecting value: line 1 column 1 (char 0)
4400001990076000001,4400001990076,HTTP 500
3100121010003000013,3100121010003,Expecting value: line 1 column 1 (char 0)
1100001010002000031,1100001010002,HTTP 500
2800001010003000022,2800001010003,Expecting value: line 1 column 1 (char 0)
2100001020006000015,2100001020006,HTTP 500
0700079020002000034,0700079020002,Server disconnected
3100001230003000018,3100001230003,Server disconnected
2500001080005000028,2500001080005,Server disconnected
1500040000000000017,1500040000000,Server disconnected
1500052000000000007,1500052000000,Server disconnected
3100034050002000001,3100034050002,Server disconnected
1600001050013000018,1600001050013,Server disconnected
1500040000000000016,1500040000000,Server disconnected
2300080990050000002,2300080990050,HTTP 500
1300037990023000002,1300037990023,Server disconnected
2700160040001000014,2700160040001,Server disconnected
1600001090005000006,1600001090005,Server disconnected
3100001170001000024,3100001170001,Server disconnected
0100280990006000003,0100280990006,Server disconnected
1500070000000000003,1500070000000,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
1500076010005000016,1500076010005,Expecting value: line 1 column 1 (char 0)
1500139020001000026,1500139020001,Expecting value: line 1 column 1 (char 0)
1500097000000000006,1500097000000,HTTP 500
1500112000000000001,1500112000000,HTTP 500
3100064010003000004,3100064010003,Server disconnected
0500059990055000001,0500059990055,Server disconnected
1600001040024000003,1600001040024,Server disconnected
3100064010003000006,3100064010003,Server disconnected
3100079900001000010,3100079900001,Server disconnected
2500001070003000017,2500001070003,Server disconnected
2500001070003000012,2500001070003,Server disconnected
1500112000000000027,1500112000000,Server disconnected
0100121060001000004,0100121060001,Server disconnected
0100121060001000012,0100121060001,Server disconnected
1300013990009000006,1300013990009,Server disconnected
1300019010001000004,1300019010001,Server disconnected
1600001160014000012,1600001160014,Server disconnected
1300022990019000001,1300022990019,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
0100049040006000033,0100049040006,Server disconnected
0300001190001000055,0300001190001,HTTP 500
1500239010001000009,1500239010001,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
3100079040002000007,3100079040002,HTTP 500
1500132000000000004,1500132000000,Server disconnected
2700019010002000002,2700019010002,HTTP 500
3100001070002000035,3100001070002,Server disconnected
2700091030001000025,2700091030001,HTTP 500
1100001060003000005,1100001060003,HTTP 500
1500085990002000003,1500085990002,Server disconnected
2400001110004000028,2400001110004,Server disconnected
2500001090002000025,2500001090002,Server disconnected
1600001190001000036,1600001190001,Server disconnected
1600001040002000015,1600001040002,Server disconnected
1900001010004000005,1900001010004,Server disconnected
3100064030002000010,3100064030002,Server disconnected
1900001010004000017,1900001010004,Server disconnected
0900001090001000012,0900001090001,Expecting value: line 1 column 1 (char 0)
2100052020002000006,2100052020002,HTTP 500
0700079010006000015,0700079010006,Expecting value: line 1 column 1 (char 0)
2100052020002000022,2100052020002,Expecting value: line 1 column 1 (char 0)
1600001080099000004,1600001080099,Expecting value: line 1 column 1 (char 0)
1500198000000000004,1500198000000,Expecting value: line 1 column 1 (char 0)
1500198000000000008,1500198000000,Server disconnected
3100001090004000005,3100001090004,Expecting value: line 1 column 1 (char 0)
2900001080001000009,2900001080001,Server disconnected
1500205000000000007,1500205000000,Server disconnected
3100064020003000011,3100064020003,Server disconnected
3100001130001000006,3100001130001,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
1500247030003000003,1500247030003,Server disconnected
1500247030003000005,1500247030003,Server disconnected
0300001090002000004,0300001090002,Server disconnected
8800380050081000011,8800380050081,Server disconnected
2900001060001000012,2900001060001,Expecting value: line 1 column 1 (char 0)
0300013010001000011,0300013010001,Server disconnected
1500076020004000021,1500076020004,Server disconnected
1500247030007000014,1500247030007,Server disconnected
1300032990070000003,1300032990070,Server disconnected
0500076020002000007,0500076020002,Server disconnected
1200200010002000015,1200200010002,Server disconnected
3100001060004000019,3100001060004,Expecting value: line 1 column 1 (char 0)
0500001100001000012,0500001100001,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'"",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""1"",""empate"""
0900001110004000016,0900001110004,HTTP 500
1500115000001000026,1500115000001,Server disconnected
1500160020007000006,1500160020007,Server disconnected
1200001020004000001,1200001020004,HTTP 500
1300001050004000005,1300001050004,Server disconnected
1600001070002000018,1600001070002,Expecting value: line 1 column 1 (char 0)
1500283000000000007,1500283000000,Server disconnected
1500079000001000023,1500079000001,Server disconnected
1500169010005000009,1500169010005,Server disconnected
0300001200004000003,0300001200004,Server disconnected
0100088010004000012,0100088010004,Server disconnected
3100106020004000003,3100106020004,Server disconnected
1600001070002000028,1600001070002,Server disconnected
0300001200004000047,0300001200004,Server disconnected
0700079020005000015,0700079020005,Server disconnected
0100001160005000005,0100001160005,Server disconnected
1500316000000000002,1500316000000,Server disconnected
2700001150001000030,2700001150001,Server disconnected
0500009990017000002,0500009990017,Server disconnected
1300025990005000001,1300025990005,Server disconnected
3100106020004000004,3100106020004,Server disconnected
2900001990033000004,2900001990033,Expecting value: line 1 column 1 (char 0)
1600001190014000011,1600001190014,Server disconnected
1600001050005000015,1600001050005,Server disconnected
1500319000000000007,1500319000000,Server disconnected
2500001040003000018,2500001040003,Server disconnected
1600001190014000021,1600001190014,Expecting value: line 1 column 1 (char 0)
1600001050005000040,1600001050005,Expecting value: line 1 column 1 (char 0)
1500239010002000007,1500239010002,Expecting value: line 1 column 1 (char 0)
1300001050003000002,1300001050003,Server disconnected
1600001050005000043,1600001050005,Server disconnected
1500323000000000004,1500323000000,Server disconnected
1300001050003000024,1300001050003,Server disconnected
2900046020002000002,2900046020002,Server disconnected
4000001010001000022,4000001010001,Server disconnected
0100230000000000006,0100230000000,Server disconnected
0900001130003000018,0900001130003,Server disconnected
4800010030001000021,4800010030001,HTTP 500
3100001270005000006,3100001270005,HTTP 500
4000001020002000024,4000001020002,Server disconnected
1500214990009000001,1500214990009,HTTP 500
2500061900001000019,2500061900001,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\':""DIAZ GAITAN"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""car"
2400025100002000011,2400025100002,Server disconnected
2900001070008000013,2900001070008,Server disconnected
3100001270005000023,3100001270005,HTTP 500
0300004010001000002,0300004010001,Expecting value: line 1 column 1 (char 0)
1600001010014000019,1600001010014,Server disconnected
1500202000001000018,1500202000001,Server disconnected
0300004010001000016,0300004010001,HTTP 500
1500202000001000021,1500202000001,Server disconnected
1600001190023000016,1600001190023,Server disconnected
3100001230002000005,3100001230002,HTTP 500
1500160010006000006,1500160010006,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
1500232000002000005,1500232000002,HTTP 500
1500247040001000005,1500247040001,Expecting value: line 1 column 1 (char 0)
0500073990013000002,0500073990013,Server disconnected
3100001130004000001,3100001130004,HTTP 500
5200001030005000006,5200001030005,Server disconnected
3100001130004000018,3100001130004,HTTP 500
3100001130004000027,3100001130004,Server disconnected
1200001020001000026,1200001020001,Server disconnected
1200001990070000009,1200001990070,HTTP 500
2700193000002000006,2700193000002,Server disconnected
1500088020002000002,1500088020002,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
2300001060007000004,2300001060007,Expecting value: line 1 column 1 (char 0)
0100035040002000002,0100035040002,Server disconnected
3100001240004000035,3100001240004,HTTP 500
0900001100005000003,0900001100005,Expecting value: line 1 column 1 (char 0)
1200001020003000006,1200001020003,Server disconnected
8800360010082000002,8800360010082,Server disconnected
1700048000000000015,1700048000000,Expecting value: line 1 column 1 (char 0)
2500100010001000002,2500100010001,HTTP 500
1600001110084000011,1600001110084,Expecting value: line 1 column 1 (char 0)
2500100010001000012,2500100010001,Expecting value: line 1 column 1 (char 0)
2400025030002000006,2400025030002,Server disconnected
1900007000000000002,1900007000000,Server disconnected
1600001150010000008,1600001150010,Server disconnected
1900007000000000015,1900007000000,Expecting value: line 1 column 1 (char 0)
1500340010001000026,1500340010001,Server disconnected
8800360400082000003,8800360400082,Server disconnected
1900007000000000014,1900007000000,Server disconnected
1300037990049000001,1300037990049,Server disconnected
1500340010003000017,1500340010003,Server disconnected
1900010000000000039,1900010000000,Server disconnected
2500001100001000015,2500001100001,Expecting value: line 1 column 1 (char 0)
0500084990053000001,0500084990053,Expecting value: line 1 column 1 (char 0)
1600001190026000002,1600001190026,Expecting value: line 1 column 1 (char 0)
1600001190026000014,1600001190026,Server disconnected
1900016000000000001,1900016000000,Server disconnected
1500076020002000002,1500076020002,Server disconnected
1500340010007000003,1500340010007,HTTP 500
1900019000000000008,1900019000000,HTTP 500
2500054010004000005,2500054010004,Server disconnected
1900025000000000007,1900025000000,HTTP 500
4400001990070000005,4400001990070,Expecting value: line 1 column 1 (char 0)
0100013020002000002,0100013020002,Server disconnected
0100088020004000010,0100088020004,Server disconnected
4400007990050000003,4400007990050,Server disconnected
0700277020006000006,0700277020006,Server disconnected
2300001040002000016,2300001040002,Expecting value: line 1 column 1 (char 0)
5200001120002000005,5200001120002,Expecting value: line 1 column 1 (char 0)
0700277020003000012,0700277020003,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'n"":""OSCAR LEONARDO"",""apecan"":""VILLAMIZAR MENESES"",""nomcan2"":"""",""ape"
0100247010001000005,0100247010001,Server disconnected
0100139000000000005,0100139000000,Server disconnected
0100139000000000028,0100139000000,timeout
3100001190003000008,3100001190003,timeout
3100106010001000003,3100106010001,timeout
0100214020002000003,0100214020002,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
3100001190003000015,3100001190003,Server disconnected
2500100020003000033,2500100020003,Server disconnected
1500055020003000013,1500055020003,Server disconnected
0100214030004000002,0100214030004,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'161977"",""nomcan"":""MARIA EUGENIA"",""apecan"":""LONDO\\xc3\\x91O OCAMPO"""
1900047000000000032,1900047000000,Server disconnected
4000005010002000001,4000005010002,Server disconnected
1500218000001000017,1500218000001,Server disconnected
0100214030004000019,0100214030004,Expecting value: line 1 column 1 (char 0)
4000005010002000012,4000005010002,HTTP 500
1200001020008000008,1200001020008,Server disconnected
3100001260004000026,3100001260004,Server disconnected
2400025030001000023,2400025030001,Expecting value: line 1 column 1 (char 0)
2400001100006000012,2400001100006,Server disconnected
3100079070004000015,3100079070004,Server disconnected
3100079100004000006,3100079100004,Server disconnected
2500001070002000008,2500001070002,Expecting value: line 1 column 1 (char 0)
2500100010004000010,2500100010004,Server disconnected
1900058000000000016,1900058000000,Server disconnected
4000005010003000011,4000005010003,HTTP 500
3100001150002000019,3100001150002,Server disconnected
3100001150002000029,3100001150002,Server disconnected
0100151040002000018,0100151040002,Server disconnected
2500061020004000007,2500061020004,Server disconnected
2500001050006000009,2500001050006,Expecting value: line 1 column 1 (char 0)
2500001020002000007,2500001020002,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
1900074000000000007,1900074000000,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
2700001130004000015,2700001130004,Expecting value: line 1 column 1 (char 0)
4400001020004000009,4400001020004,Server disconnected
0100049090001000002,0100049090001,Expecting value: line 1 column 1 (char 0)
1600001120006000008,1600001120006,Expecting value: line 1 column 1 (char 0)
1900076000000000024,1900076000000,Expecting value: line 1 column 1 (char 0)
3100001900001000018,3100001900001,Server disconnected
3100001900001000016,3100001900001,Server disconnected
1900088000000000007,1900088000000,HTTP 500
0100001320002000017,0100001320002,Server disconnected
1200150010001000011,1200150010001,Server disconnected
2700001030003000003,2700001030003,Server disconnected
2700001030003000026,2700001030003,Server disconnected
0100001020001000018,0100001020001,Server disconnected
8800155050083000002,8800155050083,Server disconnected
0300001010001000026,0300001010001,Server disconnected
0100214020001000016,0100214020001,Server disconnected
1900094000000000014,1900094000000,Expecting value: line 1 column 1 (char 0)
4800018000001000012,4800018000001,Expecting value: line 1 column 1 (char 0)
0100001160003000005,0100001160003,Server disconnected
2400025100001000013,2400025100001,Server disconnected
2100013000000000016,2100013000000,HTTP 500
2100020000000000005,2100020000000,HTTP 500
5000090990050000002,5000090990050,Server disconnected
1500247020004000021,1500247020004,Server disconnected
2700001180001000031,2700001180001,Server disconnected
8800355650083000001,8800355650083,HTTP 500
0100001050008000002,0100001050008,Server disconnected
2100030000000000020,2100030000000,Server disconnected
0100130000000000009,0100130000000,HTTP 500
0100001050008000022,0100001050008,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
2300001050004000003,2300001050004,Server disconnected
0500001200002000022,0500001200002,Server disconnected
0100001260003000013,0100001260003,Server disconnected
0100001260003000014,0100001260003,Server disconnected
0500001200002000021,0500001200002,Server disconnected
0100031010002000007,0100031010002,Server disconnected
1600001160018000009,1600001160018,Server disconnected
1600001140004000018,1600001140004,Server disconnected
2100040000000000016,2100040000000,Server disconnected
0100031010002000006,0100031010002,Server disconnected
