mpio_reg_code_7,votantes,votos_validos,votos_blanco,votos_nulos,votos_no_marcados,mesas_total,mesas_escrutadas,indig_0006,indig_0011,indig_0188,indig_0234,indig_0237,indig_0252,indig_0285,indig_0300,indig_0306,indig_0347
0100001,5168,3444,2367,967,757,5499,5495,216,249,142,46,29,17,212,44,81,41
0100004,13,7,6,0,6,51,51,0,0,0,0,0,0,0,0,0,0
0100007,4,2,2,0,2,7,7,0,0,0,0,0,0,0,0,0,0
0100010,27,1,1,15,11,15,15,0,0,0,0,0,0,0,0,0,0
0100013,123,24,16,36,63,78,78,0,0,0,0,0,0,0,0,0,0
0100016,26,5,5,9,12,60,60,0,0,0,0,0,0,0,0,0,0
0100019,69,16,10,23,30,115,115,0,0,0,0,0,0,0,0,0,0
0100022,30,2,2,18,10,20,20,0,0,0,0,0,0,0,0,0,0
0100025,50,17,17,20,13,30,30,0,0,0,0,0,0,0,0,0,0
0100028,16,14,2,1,1,45,45,0,0,0,0,0,0,0,0,0,0
0100031,41,25,19,10,6,77,77,0,0,0,0,0,0,0,0,0,0
0100034,47,13,13,23,11,21,21,0,0,0,0,0,0,0,0,0,0
0100035,463,275,143,66,122,336,336,0,0,0,0,0,0,0,0,0,0
0100037,367,270,21,39,58,75,75,0,0,0,0,0,0,0,0,0,0
0100039,24,5,4,5,14,25,25,0,0,0,0,0,0,0,0,0,0
0100040,5,0,0,2,3,15,15,0,0,0,0,0,0,0,0,0,0
0100043,302,159,117,61,82,145,145,0,0,0,0,0,0,0,0,0,0
0100046,12,5,5,4,3,20,20,0,0,0,0,0,0,0,0,0,0
0100049,1540,956,713,311,273,1063,1063,0,0,0,0,0,0,0,0,0,0
0100052,9,3,3,6,0,27,27,0,0,0,0,0,0,0,0,0,0
0100055,30,2,1,1,27,45,45,0,0,0,0,0,0,0,0,0,0
0100058,122,103,2,8,11,75,75,0,0,0,0,0,0,0,0,0,0
0100061,42,8,8,22,12,28,28,0,0,0,0,0,0,0,0,0,0
0100062,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
0100064,243,86,59,38,119,66,66,0,0,0,0,0,0,0,0,0,0
0100067,21,5,5,8,8,22,22,0,0,0,0,0,0,0,0,0,0
0100070,133,65,51,36,32,223,223,0,0,0,0,0,0,0,0,0,0
0100073,39,13,13,9,17,23,23,0,0,0,0,0,0,0,0,0,0
0100076,85,6,5,33,46,46,46,0,0,0,0,0,0,0,0,0,0
0100078,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0
0100079,1,1,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
0100080,192,108,64,22,62,155,155,0,0,0,0,0,0,0,0,0,0
