mpio_reg_code_7,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,mesas_total,mesas_escrutadas,ind_votantes,ind_votos_validos,ind_votos_blanco,ind_votos_nulos,party_0002,party_0003,party_0009,party_0010,party_0017,party_0018,party_0033,party_0034,party_0039,party_0040,party_0043,party_0044,party_0055,party_0057,party_0092,party_0170
0100001,913680,18534,15780,37938,879366,5499,5495,5168,3444,2367,967,40531,46287,13669,322924,31372,789,482,409,106308,3475,33630,14329,8030,49634,166391,3168
0100004,5873,195,446,137,5232,51,51,13,7,6,0,267,1264,98,2555,45,14,3,2,119,15,87,74,27,165,348,12
0100007,1089,17,35,10,1037,7,7,4,2,2,0,11,793,6,117,4,0,0,0,21,1,2,12,0,32,27,1
0100010,2259,70,101,30,2088,15,15,27,1,1,15,548,278,144,495,21,1,0,0,135,3,44,30,4,234,116,5
0100013,9675,338,306,404,9031,78,78,123,24,16,36,1482,1036,823,1822,218,11,5,5,615,20,229,121,86,346,1782,26
0100016,4482,150,243,204,4089,60,60,26,5,5,9,733,536,493,871,89,11,1,2,158,8,214,80,32,182,457,18
0100019,14048,503,523,312,13022,115,115,69,16,10,23,282,2509,4478,2695,200,4,2,3,227,14,583,179,95,263,1116,60
0100022,3497,89,86,54,3322,20,20,30,2,2,18,1827,740,38,241,44,1,1,0,44,1,31,29,22,75,174,0
0100025,2372,111,223,89,2038,30,30,50,17,17,20,434,498,19,489,33,13,2,1,59,7,30,45,19,99,190,11
0100028,3239,116,164,115,2959,45,45,16,14,2,1,648,717,154,320,45,9,4,4,46,2,41,55,17,336,399,47
0100031,9836,286,406,344,9144,77,77,41,25,19,10,2982,1419,93,2167,149,8,7,4,285,10,108,114,68,238,1076,72
0100034,2186,90,172,39,1924,21,21,47,13,13,23,612,172,179,500,17,5,0,1,138,8,52,26,5,40,128,2
0100035,49497,1284,1365,1591,46848,336,336,463,275,143,66,9123,5390,3309,4775,702,166,27,13,331,52,1803,1190,1585,2616,13935,240
0100037,12100,358,375,114,11367,75,75,367,270,21,39,3072,1142,3521,659,95,6,1,1,76,4,98,686,307,362,1181,42
0100039,2505,78,192,24,2235,25,25,24,5,4,5,65,309,178,1101,16,3,1,1,228,5,10,48,10,98,135,3
0100040,1672,69,120,40,1483,15,15,5,0,0,2,307,270,162,376,8,2,0,0,69,4,12,17,11,26,177,2
0100043,20174,702,965,834,18507,145,145,302,159,117,61,2023,5202,642,3828,270,18,5,6,651,40,340,483,133,776,3208,48
0100046,2583,42,84,44,2457,20,20,12,5,5,4,548,1144,36,406,13,1,0,0,41,3,25,12,8,58,111,7
0100049,163024,4295,3812,8343,154917,1063,1063,1540,956,713,311,8642,12045,3868,49710,5274,154,88,91,10400,479,5079,5421,1505,10682,32393,743
0100052,3524,110,145,39,3269,27,27,9,3,3,6,1806,279,408,415,20,0,1,0,44,0,40,24,9,43,132,9
0100055,4595,204,446,103,3945,45,45,30,2,1,1,517,617,101,1802,59,10,5,2,190,10,54,95,16,131,205,28
0100058,8528,227,549,221,7752,75,75,122,103,2,8,589,485,207,4314,137,7,6,2,493,16,136,150,44,244,687,14
0100061,4196,137,130,63,3929,28,28,42,8,8,22,2455,802,14,180,26,1,0,0,36,3,13,19,20,49,239,9
0100062,1888,81,270,48,1537,25,25,0,0,0,0,551,143,10,153,13,2,1,1,301,0,10,68,6,103,120,7
0100064,7712,258,651,179,6803,66,66,243,86,59,38,3089,729,607,264,43,8,3,7,62,8,44,209,229,221,1073,28
0100067,2795,89,172,68,2534,22,22,21,5,5,8,636,431,25,809,15,2,0,0,118,1,22,179,34,52,139,3
0100070,36523,1360,847,1882,34316,223,223,133,65,51,36,8032,2058,1137,7541,663,30,19,10,1840,82,1397,799,263,1652,6809,102
0100073,2184,89,149,46,1946,23,23,39,13,13,9,498,477,40,183,22,3,0,2,265,1,12,38,27,222,104,6
0100076,7104,200,260,87,6644,46,46,85,6,5,33,2238,2510,56,999,58,4,1,3,79,1,56,62,14,96,366,14
0100078,1825,64,100,30,1661,17,17,0,0,0,0,81,617,75,337,17,1,1,0,238,0,14,28,12,27,178,5
0100079,1988,48,141,42,1799,16,16,1,1,0,0,246,596,40,507,19,3,2,1,21,1,18,39,13,37,211,3
0100080,19626,528,924,688,18174,155,155,192,108,64,22,3939,828,1234,2410,256,32,8,6,142,22,732,494,408,1275,5616,84
0100082,25325,706,593,1245,24026,141,141,130,84,70,31,1843,2770,1064,7709,567,25,7,15,850,65,1465,595,183,1401,4150,72
0100085,1866,42,70,46,1754,14,14,11,1,1,3,265,326,8,571,34,3,0,0,87,1,29,59,14,71,216,24
0100088,29753,974,1220,1000,27559,248,247,520,200,99,142,3490,2597,3572,2827,636,33,15,16,701,27,569,1285,1067,1433,8102,189
0100091,5824,205,200,150,5419,39,39,51,6,6,14,2015,1313,90,762,65,6,4,1,100,7,143,31,48,96,582,6
0100094,7014,245,478,105,6291,48,48,21,18,2,2,269,2676,186,1849,60,11,6,3,250,7,98,74,37,210,424,26
0100097,2312,57,131,50,2124,14,14,0,0,0,0,277,199,9,1113,32,5,0,1,95,3,30,35,11,153,110,1
0100100,4952,191,313,141,4448,52,52,17,7,7,5,523,673,89,1942,61,8,5,3,266,7,46,146,45,166,307,20
0100103,35234,918,718,1694,33598,241,241,203,116,92,50,4628,1650,636,8395,804,28,16,19,2432,122,1060,2858,363,1765,7011,117
0100106,20037,564,793,586,18680,165,165,306,191,73,33,3148,1937,1216,2373,251,32,14,14,330,22,569,644,313,1687,5420,124
0100109,7242,272,400,77,6570,67,67,107,67,13,15,2999,1319,73,585,50,6,3,3,37,6,61,44,44,214,844,205
0100112,7200,195,382,305,6623,58,58,52,14,14,15,136,650,322,3598,132,14,1,1,361,9,79,127,23,216,622,27
0100115,4119,140,272,57,3707,37,37,37,11,7,8,1053,192,57,1638,58,5,3,6,126,4,39,75,21,73,290,10
0100117,14147,479,794,337,12874,131,131,275,113,55,40,3138,2189,1322,1055,152,17,5,7,457,14,164,443,228,829,2447,70
0100118,4093,90,120,157,3883,30,30,47,23,23,13,972,413,26,1267,51,2,1,0,411,7,73,48,16,174,258,7
0100121,129065,1871,1503,3935,125691,752,752,483,324,266,85,13600,7876,1035,56975,5026,72,47,43,9244,547,4347,1468,860,6855,13490,271
0100124,6882,227,272,186,6383,60,60,73,14,9,32,1743,701,186,1772,96,5,3,0,298,5,108,86,71,190,906,27
0100127,5520,191,346,102,4983,59,59,125,72,15,15,1581,936,399,916,57,3,3,2,122,5,35,50,49,150,526,47
0100130,2442,78,147,58,2217,17,17,17,7,7,4,562,411,16,593,18,1,1,0,82,2,15,32,13,128,284,1
0100133,24802,863,723,1299,23216,173,173,301,170,135,93,3625,2383,213,5574,410,16,11,7,2508,53,741,477,180,1308,4345,66
0100136,3644,127,147,131,3370,28,28,13,1,0,7,481,756,62,1164,58,4,0,5,97,5,53,53,17,183,290,11
0100139,4402,150,281,91,3971,32,32,1,1,0,0,122,1943,41,1119,52,7,1,3,77,9,58,32,11,109,277,19
0100140,2115,64,72,71,1979,20,20,38,7,7,11,964,453,13,167,19,0,1,1,41,0,30,13,7,54,137,8
0100142,23849,793,736,993,22320,136,135,129,64,54,41,1338,2845,1043,6774,678,21,9,7,1128,60,1857,1050,148,1194,3130,45
0100145,5045,85,127,84,4833,25,25,34,3,2,13,770,464,261,1477,86,3,0,1,332,4,260,48,35,620,379,9
0100148,2471,77,170,54,2224,20,20,23,22,0,0,103,919,10,710,16,4,1,0,42,2,33,28,7,107,186,2
