party_code,candidate_code,candidate_name,votes
0006,000201,JESUS OMERO CUASAPUD CHASPUENGAL,37609
0006,000203,RUBEN MARINO BORJE,24567
0006,000000,SOLO POR LA LISTA,6954
0006,000202,MARIA ESPERANZA TARAPUEZ GUEPUD,3797
0011,000201,MARTHA ISABEL PERALTA EPIEYU,61098
0011,000000,SOLO POR LA LISTA,11463
0011,000203,JULIO CESAR ESTRADA CORDERO,8157
0011,000202,NELSON CUCUÑAME LULIGO,7576
0188,000201,JOSE WILMAN TUMBO CHEPE,44702
0188,000000,SOLO POR LA LISTA,5335
0188,000202,MANUEL JESUS MAVISOY JUAGIBIOY,4507
0188,000203,LUZ EMILSE PANCHI,1516
0234,000000,SOLO POR LA LISTA,2644
0234,000201,LOT USIEL VILLAZON ARIAS,0
0234,000202,MARIA YANETH CASTILLO MARCHENA,0
0234,000203,ATANACIO MOSCOTE GIL,0
0237,000000,SOLO POR LA LISTA,1067
0237,000201,CARLOS ALBERTO REDONDO RINCON,0
0252,000000,SOLO POR LA LISTA,972
0252,000201,JOSE MANUEL MAESTRE BELLO,0
0252,000202,HERMES BOCANEGRA BARBOSA,0
0252,000203,MARIA ARIXMENDI JULIAN USNAS,0
0285,000201,RICHARD HUMBERTO FUELANTALA DELGADO,9992
0285,000000,SOLO POR LA LISTA,2777
0285,000202,ANTONIO DE JESUS GUEVARA BETANCUR,2412
0285,000203,ZUNILDA AMAYA URIANA,1447
0300,000000,SOLO POR LA LISTA,1199
0300,000202,ROSA ELENA MONTAÑO SALGADO,1176
0300,000203,OSWALDO WILFREDO HUETIO PRIETO,626
0306,000000,SOLO POR LA LISTA,2434
0306,000201,ANDRES AGREDA CHICUNQUE,0
0347,000000,SOLO POR LA LISTA,1413
0347,000201,FABIAN JOSE ARRIETA ALDANA,0
