party_code,candidate_code,candidate_name,votes
0002,000000,SOLO POR LA LISTA,216376
0002,000001,LIDIO ARTURO GARCIA TURBAY,175388
0002,000005,YESSID ENRIQUE PULGAR DAZA,146507
0002,000017,MARIA EUGENIA LOPERA MONSALVE,126934
0002,000004,ALIX YIRLEY VARGAS TORRADO,123731
0002,000006,GERSSON VARGAS VALDELEON,122361
0002,000012,CAMILO ANDRES TORRES VILLALBA,122025
0002,000099,LEONARDO DE JESUS GALLEGO ARROYAVE,115073
0002,000010,OSCAR HERNAN SANCHEZ LEON,105089
0002,000008,HECTOR OLIMPO ESPINOSA OLIVER,96310
0002,000002,FABIO RAUL AMIN SALEME,95082
0002,000011,SANTIAGO MONTOYA MONTOYA,88962
0002,000015,ALVARO HENRY MONEDERO RIVERA,88319
0002,000007,LAURA ESTER FORTICH SANCHEZ,84607
0002,000003,RICHARD ALFONSO AGUILAR VILLA,73867
0002,000020,ALEJANDRO CARLOS CHACON CAMARGO,72345
0002,000013,JAIME ENRIQUE DURAN BARRERA,69852
0002,000009,HORACIO JOSE SERPA MONCADA,65469
0002,000050,DIEGO PATIÑO AMARILES,63693
0002,000100,MARIA PAZ GAVIRIA MUÑOZ,56943
0002,000014,ALEJANDRO ALBERTO VEGA PEREZ,36555
0002,000022,JUAN CARLOS LOZADA VARGAS,34465
0002,000033,JELITZA FERNANDA RESTREPO AVILA,7761
0002,000055,CESAR AUGUSTO LOPEZ MORALES,4682
0002,000016,JUANITA DE LOS ANGELES ARIZA GUZMAN,4444
0002,000025,DANIEL GEOVANY NEIRA RIOS,3129
0002,000040,AURA VANESSA AGUILAR MORENO,2413
0002,000019,EUGENIA SERRANO PRADA,2335
0002,000027,EDUARDO JESUS SANCHEZ GIRALDO,2321
0002,000051,GLORIA ELENA MESA CEBALLOS,2290
0002,000024,CAMILO BORRERO MARTINEZ,2215
0002,000077,MARYOLISABIN ZAMBRANO CAMACHO,2120
0002,000090,ANA MARCELA LUCERO MOLINA,2118
0002,000018,ANA ISABEL URANGO SOTELO,2046
0002,000098,SEBASTIAN TRUJILLO OSORIO,1885
0002,000021,SANDRA MARTINEZ LEGUIZAMON,1821
0002,000026,JESSICA DAYAN SUAREZ RUBIANO,1806
0002,000054,EDGAR JOSE RUIZ DORANTES,1700
0002,000028,LEYDI MILENA JIMENEZ CARRILLO,1684
0002,000037,CRISTINA DEL ROSARIO CABRERA MENDEZ,1653
0002,000052,JOSE DOMINGO CASTILLO TORRES,1646
0002,000029,ERWIN JESUS LECHUGA HEREDIA,1644
0002,000097,JAMES STEVE CANIZALES SERRANO,1622
0002,000049,SANDRA MILENA GUTIERREZ PRADA,1504
0002,000041,LUZ ALBA DIOSA SILVA,1488
0002,000042,RODRIGO VARGAS VIVAS,1463
0002,000039,ANGIE MALLERLINE MEDINA ROJAS,1361
0002,000088,CARLOS ALBERTO CORREDOR ANGULO,1297
0002,000030,KELY JOHANA SERRANO DUARTE,1279
0002,000053,EDILMA CASTAÑEDA PINEDA,1278
0002,000072,EDITH ANDREA MARTINEZ TOVAR,1249
0002,000023,JOSE JAMES OSPINA MURILLO,1225
0002,000038,JENNY PAOLA GARCIA MACIAS,1165
0002,000044,DIANA VANESSA RINCON VERGEL,1155
0002,000068,DAYANA MARISTEL SERRANO TORRES,1130
0002,000061,JACQUELIN QUESADA MONTIEL,1019
0002,000066,BEATRIZ ELENA YEPES GOMEZ,961
0002,000057,RAMON RICARDO MARTINEZ MARTINEZ,952
0002,000069,EDILSA DEL SOCORRO TORRES OSORIO,911
0002,000096,VALENTINA CORREA RESTREPO,910
0002,000070,LUZ MARINA ROMERO MOTTA,907
0002,000062,ANA CECILIA VARGAS FORERO,886
