puesto_code,is_exterior,dept_reg,mpio_reg,zona,puesto_num,dept_name,mpio_name,puesto_name,comuna,direccion,censo_mujeres,censo_hombres,censo_total,num_mesas,latitud,longitud,citrep,mesas_ext_lun_jue,mesas_ext_vie,mesas_ext_sab,censo_mujeres_ext,censo_hombres_ext,censo_total_ext,agrupados_ext
0100001010001,False,01,001,01,01,ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No 2,01COMUNA 1 POPULAR,KR 29 # 102 - 20,5183,7633,12816,39,6.291166853889096,-75.54110522383867,,,,,,,,
0100001010002,False,01,001,01,02,ANTIOQUIA,MEDELLIN,INST.EDUC. LA CANDELARIA,01COMUNA 1 POPULAR,CL 106 # 32-100,9736,6408,16144,49,6.293491161667737,-75.54232060073917,,,,,,,,
0100001010003,False,01,001,01,03,ANTIOQUIA,MEDELLIN,"IE MARIA DE LOS ANGELES CANO
MARQUEZ",01COMUNA 1 POPULAR,CR 36B 102C 54,4545,3965,8510,26,6.292281354276708,-75.5445017815333,,,,,,,,
0100001010004,False,01,001,01,04,ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,01COMUNA 1 POPULAR,CL 96 # 36-45,4915,4045,8960,27,6.286822875493661,-75.54634394199259,,,,,,,,
0100001010005,False,01,001,01,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,01COMUNA 1 POPULAR,Cra 39A # 104-23,2603,2387,4990,15,6.292913702271824,-75.54774714975814,,,,,,,,
0100001010006,False,01,001,01,06,ANTIOQUIA,MEDELLIN,IE LA AVANZADA,01COMUNA 1 POPULAR,CRA 27 No 106BB-65,1331,1010,2341,8,6.294368801872741,-75.53912846195836,,,,,,,,
0100001010007,False,01,001,01,07,ANTIOQUIA,MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,01COMUNA 1 POPULAR,CALLE 97 # 23-12,1106,1053,2159,7,6.286901662275185,-75.53825245453439,,,,,,,,
0100001010008,False,01,001,01,08,ANTIOQUIA,MEDELLIN,IE ANTONIO DERKA,01COMUNA 1 POPULAR,CRA 28 No 107-425,3384,3242,6626,20,6.297172374535049,-75.53908900853517,,,,,,,,
0100001010009,False,01,001,01,09,ANTIOQUIA,MEDELLIN,SEC. ESC. NUEVO HORIZONTE 2,01COMUNA 1 POPULAR,CARRERA 37 No 107AA 21,2028,9915,11943,36,6.297678127687827,-75.54560659015236,,,,,,,,
0100001020001,False,01,001,02,01,ANTIOQUIA,MEDELLIN,I.E. NUEVO HORIZONTE - PAULO VI,01COMUNA 1 POPULAR,KR 42B # 110 A 28,3717,7112,10829,33,6.298770610003607,-75.54621227142943,,,,,,,,
