dept_reg_code,votantes,votos_validos,votos_blanco,votos_nulos,indig_0011,indig_0285,indig_0234,indig_0006,indig_0306,indig_0252,indig_0188,indig_0237,indig_0300,indig_0347,icand_0011_000000|SOLO POR LA LISTA,icand_0011_000201|MARTHA ISABEL PERALTA EPIEYU,icand_0011_000202|NELSON CUCUÑAME LULIGO,icand_0011_000203|JULIO CESAR ESTRADA CORDERO,icand_0285_000000|SOLO POR LA LISTA,icand_0285_000201|RICHARD HUMBERTO FUELANTALA DELGADO,icand_0285_000202|ANTONIO DE JESUS GUEVARA BETANCUR,icand_0285_000203|ZUNILDA AMAYA URIANA,icand_0234_000000|SOLO POR LA LISTA,icand_0234_000201|LOT USIEL VILLAZON ARIAS,icand_0234_000202|MARIA YANETH CASTILLO MARCHENA,icand_0234_000203|ATANACIO MOSCOTE GIL,icand_0006_000000|SOLO POR LA LISTA,icand_0006_000201|JESUS OMERO CUASAPUD CHASPUENGAL,icand_0006_000202|MARIA ESPERANZA TARAPUEZ GUEPUD,icand_0006_000203|RUBEN MARINO BORJE,icand_0306_000000|SOLO POR LA LISTA,icand_0306_000201|ANDRES AGREDA CHICUNQUE,icand_0252_000000|SOLO POR LA LISTA,icand_0252_000201|JOSE MANUEL MAESTRE BELLO,icand_0252_000202|HERMES BOCANEGRA BARBOSA,icand_0252_000203|MARIA ARIXMENDI JULIAN USNAS,icand_0188_000000|SOLO POR LA LISTA,icand_0188_000201|JOSE WILMAN TUMBO CHEPE,icand_0188_000202|MANUEL JESUS MAVISOY JUAGIBIOY,icand_0188_000203|LUZ EMILSE PANCHI,icand_0237_000000|SOLO POR LA LISTA,icand_0237_000201|CARLOS ALBERTO REDONDO RINCON,icand_0300_000000|SOLO POR LA LISTA,icand_0300_000202|ROSA ELENA MONTAÑO SALGADO,icand_0300_000203|OSWALDO WILFREDO HUETIO PRIETO,icand_0347_000000|SOLO POR LA LISTA,icand_0347_000201|FABIAN JOSE ARRIETA ALDANA,censo,mesas_total,mesas_escrutadas,turnout_pct,pct_blanco,pct_nulo,winner_col,winner_votes,winner_pct,winner,winner_color,dept_name_reg,dept_dane_code,dept_name_dane
0100,20440,11427,6449,3895,2450,474,104,886,204,37,511,65,144,103,330,1716,214,190,127,219,95,33,104,0,0,0,108,300,80,398,204,0,37,0,0,0,111,270,72,58,65,0,58,61,25,103,0,0,0,0,,56.44,19.06,indig_0011,2450,21.44,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,ANTIOQUIA,05,ANTIOQUIA
0300,40997,30886,6033,4492,2770,1140,140,18941,284,152,719,113,453,141,372,1800,302,296,195,261,177,507,140,0,0,0,1653,573,596,16119,284,0,152,0,0,0,142,206,116,255,113,0,133,180,140,141,0,0,0,0,,19.53,10.96,indig_0006,18941,61.33,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,ATLANTICO,08,ATLÁNTICO
0500,13081,5631,2572,4185,1782,176,63,539,62,42,177,40,150,28,203,1393,120,66,51,73,33,19,63,0,0,0,50,40,17,432,62,0,42,0,0,0,93,50,21,13,40,0,103,36,11,28,0,0,0,0,,45.68,31.99,indig_0011,1782,31.65,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,BOLIVAR,13,BOLÍVAR
0700,3908,2546,869,658,1087,102,81,299,15,4,50,13,15,11,128,750,63,146,15,67,14,6,81,0,0,0,9,127,11,152,15,0,4,0,0,0,11,23,11,5,13,0,8,2,5,11,0,0,0,0,,34.13,16.84,indig_0011,1087,42.69,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,BOYACA,15,BOYACÁ
0900,12415,9853,1374,1338,904,304,16,132,40,22,6946,21,67,27,306,378,151,69,52,96,146,10,16,0,0,0,27,77,17,11,40,0,22,0,0,0,744,5829,242,131,21,0,22,35,10,27,0,0,0,0,,13.94,10.78,indig_0188,6946,70.5,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,#DA5403,CALDAS,17,CALDAS
1100,55031,48000,3155,2798,4689,1206,172,2676,220,89,35290,39,322,142,1298,1818,1058,515,301,609,213,83,172,0,0,0,465,1732,219,260,220,0,89,0,0,0,2794,30886,1072,538,39,0,165,101,56,142,0,0,0,0,,6.57,5.08,indig_0188,35290,73.52,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,#DA5403,CAUCA,19,CAUCA
1200,8794,5422,1170,1918,2641,123,326,844,88,13,155,16,33,13,271,2052,217,101,18,62,21,22,326,0,0,0,74,35,18,717,88,0,13,0,0,0,22,57,68,8,16,0,11,18,4,13,0,0,0,0,,21.58,21.81,indig_0011,2641,48.71,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,CESAR,20,CESAR
1300,7887,3832,1399,2304,1646,68,25,456,45,12,87,15,54,25,165,1208,230,43,23,26,9,10,25,0,0,0,31,38,16,371,45,0,12,0,0,0,24,35,15,13,15,0,8,41,5,25,0,0,0,0,,36.51,29.21,indig_0011,1646,42.95,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,CORDOBA,23,CÓRDOBA
1500,11902,7889,4224,2328,2103,359,99,394,154,39,188,99,85,145,280,1544,170,109,80,198,58,23,99,0,0,0,68,188,60,78,154,0,39,0,0,0,49,69,50,20,99,0,36,38,11,145,0,0,0,0,,53.54,19.56,indig_0011,2103,26.66,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,CUNDINAMARCA,25,CUNDINAMARCA
1600,20027,14713,8065,3145,2207,1238,540,571,435,247,772,187,222,229,526,989,298,394,304,613,240,81,540,0,0,0,155,212,100,104,435,0,247,0,0,0,206,283,214,69,187,0,93,82,47,229,0,0,0,0,,54.82,15.7,indig_0011,2207,15.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,SANTAFE DE BOGOTA D.C,11,"BOGOTÁ, D.C."
1700,6319,3200,542,1330,1321,44,12,168,10,3,1069,0,28,3,206,948,130,37,8,24,8,4,12,0,0,0,16,19,24,109,10,0,3,0,0,0,126,56,885,2,0,0,13,11,4,3,0,0,0,0,,16.94,21.05,indig_0011,1321,41.28,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,CHOCO,27,CHOCÓ
1900,4538,3178,913,642,162,85,24,91,21,9,1818,21,20,14,33,79,30,20,27,45,10,3,24,0,0,0,17,47,15,12,21,0,9,0,0,0,101,1525,177,15,21,0,4,11,5,14,0,0,0,0,,28.73,14.15,indig_0188,1818,57.21,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,#DA5403,HUILA,41,HUILA
2100,8599,4845,1194,2137,2362,110,99,810,66,17,107,13,47,20,288,1876,136,62,28,37,10,35,99,0,0,0,79,60,17,654,66,0,17,0,0,0,27,42,11,27,13,0,28,16,3,20,0,0,0,0,,24.64,24.85,indig_0011,2362,48.75,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,MAGDALENA,47,MAGDALENA
2300,59938,53619,3036,2706,3010,7426,91,37456,85,38,2118,49,206,104,435,1420,227,928,731,5955,558,182,91,0,0,0,3313,31436,2050,657,85,0,38,0,0,0,151,1565,368,34,49,0,84,94,28,104,0,0,0,0,,5.66,4.51,indig_0006,37456,69.86,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,NARIÑO,52,NARIÑO
2400,8075,5760,1064,1053,3640,390,19,87,32,8,478,4,32,6,293,2928,218,201,56,88,226,20,19,0,0,0,7,45,14,21,32,0,8,0,0,0,36,394,33,15,4,0,14,13,5,6,0,0,0,0,,18.47,13.04,indig_0011,3640,63.19,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,RISARALDA,66,RISARALDA
2500,3891,1810,893,1142,300,53,10,451,22,5,32,10,15,19,66,179,29,26,10,29,3,11,10,0,0,0,25,27,7,392,22,0,5,0,0,0,5,19,4,4,10,0,5,7,3,19,0,0,0,0,,49.34,29.35,indig_0006,451,24.92,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,NORTE DE SANTANDER,54,NORTE DE SANTANDER
