puesto_code,error
2300139030003,HTTP 500
23001399900R3,HTTP 500
2600080900001,HTTP 500
4800010010001,Expecting value: line 1 column 1 (char 0)
1600001180061,Expecting value: line 1 column 1 (char 0)
1300020990001,HTTP 500
8800625020084,Expecting value: line 1 column 1 (char 0)
1500160020002,HTTP 500
1100001060004,HTTP 500
5400001010005,Expecting value: line 1 column 1 (char 0)
8800360590084,HTTP 500
8800285050084,Expecting value: line 1 column 1 (char 0)
4600001020002,Expecting value: line 1 column 1 (char 0)
3100106010001,HTTP 500
3100001010003,Expecting value: line 1 column 1 (char 0)
1500055020002,HTTP 500
2800001990078,Expecting value: line 1 column 1 (char 0)
5200008990060,HTTP 500
1200875990020,HTTP 500
0100019020001,HTTP 500
1500298990002,Expecting value: line 1 column 1 (char 0)
0100205990015,HTTP 500
7200006990040,Expecting value: line 1 column 1 (char 0)
2300091990005,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""14"",""cedula"":""1039454974"",""nomcan"":""ALEX XAVIER"",""apecan"":""FLOREZ HERNANDEZ"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""15"",""cedula"":""1010222747"",""nomcan"":""KAMELIA EDITH"",""apecan"":""ZULUAGA NAVARRO"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""16"",""cedula"":""72192592"",""nomcan"":""AGMETH JOSE"",""apecan"":""ESCAF TIJERINO"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""17"",""cedula"":""23030478"",""nomcan"":""YAINI ISABEL"",""apecan"":""CONTRERAS JIMENEZ"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""18"",""cedula"":""1118284299"",""nomcan"":""CRISTIAN KEVIN"",""apecan"":""GOMEZ PAZ"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""19"",""cedula"":""38790547"",""nomcan"":""ISABEL CRISTINA"",""apecan"":""ZULETA LOPEZ"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""20"",""cedula"":""94389516"",""nomcan"":""MARTIN ALONSO"",""apecan"":""CAICEDO CARABALI"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""21"",""cedula"":""1123998350"",""nomcan"":""DEISY JOHANA"",""apecan"":""OSORIO MARQUEZ"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""22"",""cedula"":""1018406464"",""nomcan"":""DAVID RICARDO"",""apecan"":""RACERO MAYORCA"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""23"",""cedula"":""1092351430"",""nomcan"":""DEYCI ALEJANDRA"",""apecan"":""OMA\\xc3\\x91A ORTIZ"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""24"",""cedula"":""72254908"",""nomcan"":""ORLANDO MIGUEL"",""apecan"":""DE LA HOZ GARCIA"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""25"",""cedula"":""31262518"",""nomcan"":""MARY"",""apecan"":""JURADO PALOMINO"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""26"",""cedula"":""84043365"",""nomcan"":""ALBERTO MANUEL"",""apecan"":""GASCON GIRALDO"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""27"",""cedula"":""52274598"",""nomcan"":""ETNA TAMARA"",""apecan"":""ARGOTE CALDERON"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""28"",""cedula"":""19496782"",""nomcan"":""LUIS GUILLERMO"",""apecan"":""PEREZ CASAS"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""29"",""cedula"":""33145785"",""nomcan"":""COLOMBIA SOFIA"",""apecan"":""VILLAMIL QUIROZ"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""30"",""cedula"":""79344835"",""nomcan"":""ROBERT"",""apecan"":""DAZA GUEVARA"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""31"",""cedula"":""41636811"",""nomcan"":""JAEL"",""apecan"":""QUIROGA CARRILLO"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""32"",""cedula"":""10132229"",""nomcan"":""JULIO CESAR"",""apecan"":""GONZALEZ QUICENO"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""33"",""cedula"":""36564010"",""nomcan"":""NELLYS MARIA"",""apecan"":""CADENA ROJAS"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvot"":""0%"",""carg"":""0"",""pref"":""0"",""empate"":""0""},{""amb"":""3100079990047"",""codcan"":""34"",""cedula"":""3226621"",""nomcan"":""DAGOBERTO"",""apecan"":""QUIROGA COLLAZOS"",""nomcan2"":"""",""apecan2"":"""",""vot"":""0"",""pvo\'\n    ^', url='https://resultadospreccongreso2026.registraduria.gov.co/json/ACT/SE/2300091990005.json'"
1100055990053,Expecting value: line 1 column 1 (char 0)
1100029990010,HTTP 500
