dept_map_num,dept_reg_code,dept_name_reg,dept_dane_code,dept_name_dane
01,0100,ANTIOQUIA,05,ANTIOQUIA
03,0300,ATLANTICO,08,ATLÁNTICO
16,1600,SANTAFE DE BOGOTA D.C,11,"BOGOTÁ, D.C."
05,0500,BOLIVAR,13,BOLÍVAR
07,0700,BOYACA,15,BOYACÁ
09,0900,CALDAS,17,CALDAS
44,4400,CAQUETA,18,CAQUETÁ
11,1100,CAUCA,19,CAUCA
12,1200,CESAR,20,CESAR
13,1300,CORDOBA,23,CÓRDOBA
15,1500,CUNDINAMARCA,25,CUNDINAMARCA
17,1700,CHOCO,27,CHOCÓ
19,1900,HUILA,41,HUILA
48,4800,LA GUAJIRA,44,LA GUAJIRA
21,2100,MAGDALENA,47,MAGDALENA
52,5200,META,50,META
23,2300,NARIÑO,52,NARIÑO
25,2500,NORTE DE SANTANDER,54,NORTE DE SANTANDER
26,2600,QUINDIO,63,QUINDIO
24,2400,RISARALDA,66,RISARALDA
27,2700,SANTANDER,68,SANTANDER
28,2800,SUCRE,70,SUCRE
29,2900,TOLIMA,73,TOLIMA
31,3100,VALLE DEL CAUCA,76,VALLE DEL CAUCA
40,4000,ARAUCA,81,ARAUCA
46,4600,CASANARE,85,CASANARE
64,6400,PUTUMAYO,86,PUTUMAYO
60,6000,AMAZONAS,91,AMAZONAS
50,5000,GUAINIA,94,GUAINÍA
54,5400,GUAVIARE,95,GUAVIARE
68,6800,VAUPES,97,VAUPÉS
72,7200,VICHADA,99,VICHADA
56,5600,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA
88,8800,Consulados,00,Consulados
