mpio_reg_code_5,mpio_reg_code_7,mpio_name_reg,mpio_dane_code,mpio_name_dane,dept_reg_code,dept_dane_code
11001,1100001,POPAYAN,19001,POPAYÁN,1100,11
11004,1100004,ALMAGUER,19022,ALMAGUER,1100,11
11005,1100005,ARGELIA,19050,ARGELIA,1100,11
11006,1100006,BALBOA,19075,BALBOA,1100,11
11007,1100007,BOLIVAR,19100,BOLÍVAR,1100,11
11010,1100010,BUENOS AIRES,19110,BUENOS AIRES,1100,11
11013,1100013,CAJIBIO,19130,CAJIBÍO,1100,11
11016,1100016,CALDONO,19137,CALDONO,1100,11
11019,1100019,CALOTO,19142,CALOTO,1100,11
11022,1100022,CORINTO,19212,CORINTO,1100,11
11025,1100025,EL TAMBO,19256,EL TAMBO,1100,11
11027,1100027,FLORENCIA,19290,FLORENCIA,1100,11
11029,1100029,GUACHENE,19300,GUACHENÉ,1100,11
11028,1100028,GUAPI,19318,GUAPI,1100,11
11031,1100031,INZA,19355,INZÁ,1100,11
11034,1100034,JAMBALO,19364,JAMBALÓ,1100,11
11037,1100037,LA SIERRA,19392,LA SIERRA,1100,11
11040,1100040,LA VEGA,19397,LA VEGA,1100,11
11043,1100043,LOPEZ (MICAY),19418,LÓPEZ DE MICAY,1100,11
11046,1100046,MERCADERES,19450,MERCADERES,1100,11
11049,1100049,MIRANDA,19455,MIRANDA,1100,11
11052,1100052,MORALES,19473,MORALES,1100,11
11053,1100053,PADILLA,19513,PADILLA,1100,11
11055,1100055,PAEZ (BELALCAZAR),19517,PÁEZ,1100,11
11058,1100058,PATIA (EL BORDO),19532,PATÍA,1100,11
11060,1100060,PIAMONTE,19533,PIAMONTE,1100,11
11061,1100061,PIENDAMO,19548,PIENDAMÓ - TUNÍA,1100,11
11064,1100064,PUERTO TEJADA,19573,PUERTO TEJADA,1100,11
11067,1100067,PURACE (COCONUCO),19585,PURACÉ,1100,11
11070,1100070,ROSAS,19622,ROSAS,1100,11
11073,1100073,SAN SEBASTIAN,19693,SAN SEBASTIÁN,1100,11
11076,1100076,SANTANDER DE QUILICHAO,19698,SANTANDER DE QUILICHAO,1100,11
11079,1100079,SANTA ROSA,19701,SANTA ROSA,1100,11
11082,1100082,SILVIA,19743,SILVIA,1100,11
11085,1100085,SOTARA (PAISPAMBA),19760,SOTARÁ PAISPAMBA,1100,11
11087,1100087,SUAREZ,19780,SUÁREZ,1100,11
11086,1100086,SUCRE,19785,SUCRE,1100,11
11088,1100088,TIMBIO,19807,TIMBÍO,1100,11
11091,1100091,TIMBIQUI,19809,TIMBIQUÍ,1100,11
11094,1100094,TORIBIO,19821,TORIBÍO,1100,11
11097,1100097,TOTORO,19824,TOTORÓ,1100,11
11098,1100098,VILLA RICA,19845,VILLA RICA,1100,11
12001,1200001,VALLEDUPAR,20001,VALLEDUPAR,1200,12
12075,1200075,AGUACHICA,20011,AGUACHICA,1200,12
12150,1200150,AGUSTIN CODAZZI,20013,AGUSTÍN CODAZZI,1200,12
12170,1200170,ASTREA,20032,ASTREA,1200,12
12180,1200180,BECERRIL,20045,BECERRIL,1200,12
12200,1200200,BOSCONIA,20060,BOSCONIA,1200,12
12300,1200300,CHIMICHAGUA,20175,CHIMICHAGUA,1200,12
12375,1200375,CHIRIGUANA,20178,CHIRIGUANÁ,1200,12
12225,1200225,CURUMANI,20228,CURUMANÍ,1200,12
12410,1200410,EL COPEY,20238,EL COPEY,1200,12
12415,1200415,EL PASO,20250,EL PASO,1200,12
12450,1200450,GAMARRA,20295,GAMARRA,1200,12
12525,1200525,GONZALEZ,20310,GONZÁLEZ,1200,12
12600,1200600,LA GLORIA,20383,LA GLORIA,1200,12
12608,1200608,LA JAGUA DE IBIRICO,20400,LA JAGUA DE IBIRICO,1200,12
12625,1200625,MANAURE BALCON DEL CESAR (MANA,20443,MANAURE BALCÓN DEL CESAR,1200,12
12650,1200650,PAILITAS,20517,PAILITAS,1200,12
12700,1200700,PELAYA,20550,PELAYA,1200,12
12720,1200720,PUEBLO BELLO,20570,PUEBLO BELLO,1200,12
12750,1200750,RIO DE ORO,20614,RÍO DE ORO,1200,12
12825,1200825,LA PAZ,20621,LA PAZ,1200,12
12800,1200800,SAN ALBERTO,20710,SAN ALBERTO,1200,12
12850,1200850,SAN DIEGO,20750,SAN DIEGO,1200,12
12875,1200875,SAN MARTIN,20770,SAN MARTÍN,1200,12
12900,1200900,TAMALAMEQUE,20787,TAMALAMEQUE,1200,12
13001,1300001,MONTERIA,23001,MONTERÍA,1300,13
13004,1300004,AYAPEL,23068,AYAPEL,1300,13
13007,1300007,BUENAVISTA,23079,BUENAVISTA,1300,13
13009,1300009,CANALETE,23090,CANALETE,1300,13
13010,1300010,CERETE,23162,CERETÉ,1300,13
13016,1300016,CHIMA,23168,CHIMÁ,1300,13
13019,1300019,CHINU,23182,CHINÚ,1300,13
13013,1300013,CIENAGA DE ORO,23189,CIÉNAGA DE ORO,1300,13
13014,1300014,COTORRA (BONGO),23300,COTORRA,1300,13
13020,1300020,LA APARTADA (FRONTERA),23350,LA APARTADA,1300,13
13022,1300022,LORICA,23417,LORICA,1300,13
13023,1300023,LOS CORDOBAS,23419,LOS CÓRDOBAS,1300,13
13024,1300024,MOMIL,23464,MOMIL,1300,13
13025,1300025,MONTELIBANO,23466,MONTELÍBANO,1300,13
13027,1300027,MOÑITOS,23500,MOÑITOS,1300,13
13028,1300028,PLANETA RICA,23555,PLANETA RICA,1300,13
13031,1300031,PUEBLO NUEVO,23570,PUEBLO NUEVO,1300,13
13033,1300033,PUERTO ESCONDIDO,23574,PUERTO ESCONDIDO,1300,13
13032,1300032,PUERTO LIBERTADOR,23580,PUERTO LIBERTADOR,1300,13
13034,1300034,PURISIMA,23586,PURÍSIMA DE LA CONCEPCIÓN,1300,13
13037,1300037,SAHAGUN,23660,SAHAGÚN,1300,13
13040,1300040,SAN ANDRES DE SOTAVENTO,23670,SAN ANDRÉS DE SOTAVENTO,1300,13
13043,1300043,SAN ANTERO,23672,SAN ANTERO,1300,13
13046,1300046,SAN BERNARDO DEL VIENTO,23675,SAN BERNARDO DEL VIENTO,1300,13
13049,1300049,SAN CARLOS,23678,SAN CARLOS,1300,13
13052,1300052,SAN JOSE DE URE,23682,SAN JOSÉ DE URÉ,1300,13
13055,1300055,SAN PELAYO,23686,SAN PELAYO,1300,13
13058,1300058,TIERRALTA,23807,TIERRALTA,1300,13
13060,1300060,TUCHIN,23815,TUCHÍN,1300,13
13061,1300061,VALENCIA,23855,VALENCIA,1300,13
15004,1500004,AGUA DE DIOS,25001,AGUA DE DIOS,1500,15
15007,1500007,ALBAN,25019,ALBÁN,1500,15
15010,1500010,ANAPOIMA,25035,ANAPOIMA,1500,15
15013,1500013,ANOLAIMA,25040,ANOLAIMA,1500,15
15016,1500016,ARBELAEZ,25053,ARBELÁEZ,1500,15
15019,1500019,BELTRAN,25086,BELTRÁN,1500,15
