ubigeo_distrito,ubigeo_provincia,ubigeo_dept,nombre_distrito,nombre_provincia,nombre_dept,is_exterior,has_geometry,num_mesas,num_electores
010101,010100,010000,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,False,True,75,21713
010102,010100,010000,ASUNCION,CHACHAPOYAS,AMAZONAS,False,True,2,301
010103,010100,010000,BALSAS,CHACHAPOYAS,AMAZONAS,False,True,5,1208
010104,010100,010000,CHETO,CHACHAPOYAS,AMAZONAS,False,True,3,673
010105,010100,010000,CHILIQUIN,CHACHAPOYAS,AMAZONAS,False,True,4,1012
010106,010100,010000,CHUQUIBAMBA,CHACHAPOYAS,AMAZONAS,False,True,7,1760
010107,010100,010000,GRANADA,CHACHAPOYAS,AMAZONAS,False,True,2,564
010108,010100,010000,HUANCAS,CHACHAPOYAS,AMAZONAS,False,True,3,832
010109,010100,010000,LA JALCA,CHACHAPOYAS,AMAZONAS,False,True,16,4030
010110,010100,010000,LEIMEBAMBA,CHACHAPOYAS,AMAZONAS,False,True,10,2890
010111,010100,010000,LEVANTO,CHACHAPOYAS,AMAZONAS,False,True,4,1034
010112,010100,010000,MAGDALENA,CHACHAPOYAS,AMAZONAS,False,True,3,790
010113,010100,010000,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,False,True,4,903
010114,010100,010000,MOLINOPAMPA,CHACHAPOYAS,AMAZONAS,False,True,8,2185
010115,010100,010000,MONTEVIDEO,CHACHAPOYAS,AMAZONAS,False,True,3,655
010116,010100,010000,OLLEROS,CHACHAPOYAS,AMAZONAS,False,True,2,438
010117,010100,010000,QUINJALCA,CHACHAPOYAS,AMAZONAS,False,True,4,996
010118,010100,010000,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS,False,True,2,398
010119,010100,010000,SAN ISIDRO DE MAINO,CHACHAPOYAS,AMAZONAS,False,True,3,679
010120,010100,010000,SOLOCO,CHACHAPOYAS,AMAZONAS,False,True,6,1499
010121,010100,010000,SONCHE,CHACHAPOYAS,AMAZONAS,False,True,2,435
010201,010200,010000,LA PECA,BAGUA,AMAZONAS,False,True,25,6687
010202,010200,010000,ARAMANGO,BAGUA,AMAZONAS,False,True,34,9383
010203,010200,010000,COPALLIN,BAGUA,AMAZONAS,False,True,16,4461
010204,010200,010000,EL PARCO,BAGUA,AMAZONAS,False,True,6,1534
010205,010200,010000,BAGUA,BAGUA,AMAZONAS,False,True,70,20576
010206,010200,010000,IMAZA,BAGUA,AMAZONAS,False,True,95,26088
010301,010300,010000,JUMBILLA,BONGARA,AMAZONAS,False,True,3,864
010302,010300,010000,COROSHA,BONGARA,AMAZONAS,False,True,3,691
010303,010300,010000,CUISPES,BONGARA,AMAZONAS,False,True,2,555
010304,010300,010000,CHISQUILLA,BONGARA,AMAZONAS,False,True,2,418
010305,010300,010000,CHURUJA,BONGARA,AMAZONAS,False,True,2,350
010306,010300,010000,FLORIDA,BONGARA,AMAZONAS,False,True,17,4908
010307,010300,010000,RECTA,BONGARA,AMAZONAS,False,True,2,347
010308,010300,010000,SAN CARLOS,BONGARA,AMAZONAS,False,True,3,611
010309,010300,010000,SHIPASBAMBA,BONGARA,AMAZONAS,False,True,5,1302
010310,010300,010000,VALERA,BONGARA,AMAZONAS,False,True,4,1032
010311,010300,010000,YAMBRASBAMBA,BONGARA,AMAZONAS,False,True,18,4947
010312,010300,010000,JAZAN,BONGARA,AMAZONAS,False,True,21,5660
010401,010400,010000,LAMUD,LUYA,AMAZONAS,False,True,7,1744
010402,010400,010000,CAMPORREDONDO,LUYA,AMAZONAS,False,True,20,5324
010403,010400,010000,COCABAMBA,LUYA,AMAZONAS,False,True,7,1572
010404,010400,010000,COLCAMAR,LUYA,AMAZONAS,False,True,7,1868
010405,010400,010000,CONILA,LUYA,AMAZONAS,False,True,5,1409
010406,010400,010000,INGUILPATA,LUYA,AMAZONAS,False,True,3,587
010407,010400,010000,LONGUITA,LUYA,AMAZONAS,False,True,4,824
010408,010400,010000,LONYA CHICO,LUYA,AMAZONAS,False,True,3,850
010409,010400,010000,LUYA,LUYA,AMAZONAS,False,True,12,3229
010410,010400,010000,LUYA VIEJO,LUYA,AMAZONAS,False,True,2,403
010411,010400,010000,MARIA,LUYA,AMAZONAS,False,True,3,827
010412,010400,010000,OCALLI,LUYA,AMAZONAS,False,True,11,2963
010413,010400,010000,OCUMAL,LUYA,AMAZONAS,False,True,11,2941
010414,010400,010000,PISUQUIA,LUYA,AMAZONAS,False,True,17,3935
010415,010400,010000,SAN CRISTOBAL,LUYA,AMAZONAS,False,True,3,612
010416,010400,010000,SAN FRANCISCO DEL YESO,LUYA,AMAZONAS,False,True,3,619
010417,010400,010000,SAN JERONIMO,LUYA,AMAZONAS,False,True,4,1057
010418,010400,010000,SAN JUAN DE LOPECANCHA,LUYA,AMAZONAS,False,True,2,509
010419,010400,010000,SANTA CATALINA,LUYA,AMAZONAS,False,True,6,1528
010420,010400,010000,SANTO TOMAS,LUYA,AMAZONAS,False,True,12,2725
010421,010400,010000,TINGO,LUYA,AMAZONAS,False,True,5,1362
010422,010400,010000,TRITA,LUYA,AMAZONAS,False,True,4,1144
010423,010400,010000,PROVIDENCIA,LUYA,AMAZONAS,False,True,5,1325
010501,010500,010000,SAN NICOLAS,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,15,4288
010502,010500,010000,COCHAMAL,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,3,759
010503,010500,010000,CHIRIMOTO,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,8,2073
010504,010500,010000,HUAMBO,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,10,2502
010505,010500,010000,LIMABAMBA,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,6,1469
010506,010500,010000,LONGAR,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,6,1524
010507,010500,010000,MILPUCC,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,3,677
010508,010500,010000,MARISCAL BENAVIDES,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,6,1680
010509,010500,010000,OMIA,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,29,7652
010510,010500,010000,SANTA ROSA,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,2,384
010511,010500,010000,TOTORA,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,2,494
010512,010500,010000,VISTA ALEGRE,RODRIGUEZ DE MENDOZA,AMAZONAS,False,True,11,2360
010601,010600,010000,NIEVA,CONDORCANQUI,AMAZONAS,False,True,86,23807
010602,010600,010000,RIO SANTIAGO,CONDORCANQUI,AMAZONAS,False,True,47,12330
010603,010600,010000,EL CENEPA,CONDORCANQUI,AMAZONAS,False,True,39,10582
010701,010700,010000,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,False,True,148,41466
010702,010700,010000,CAJARURO,UTCUBAMBA,AMAZONAS,False,True,76,21586
010703,010700,010000,CUMBA,UTCUBAMBA,AMAZONAS,False,True,26,6920
010704,010700,010000,EL MILAGRO,UTCUBAMBA,AMAZONAS,False,True,19,5268
010705,010700,010000,JAMALCA,UTCUBAMBA,AMAZONAS,False,True,22,5989
010706,010700,010000,LONYA GRANDE,UTCUBAMBA,AMAZONAS,False,True,29,8195
010707,010700,010000,YAMON,UTCUBAMBA,AMAZONAS,False,True,13,3085
020101,020100,020000,HUARAZ,HUARAZ,ANCASH,False,True,167,48971
