codigo_mesa,ubigeo_distrito,nombre_distrito,ubigeo_provincia,nombre_provincia,ubigeo_dept,nombre_dept,is_exterior,electores_habiles,codigo_local_votacion,nombre_local_votacion
000001,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,230,0001,IE 18288 ISABEL LYNCH DE RUBIO
000002,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,230,0001,IE 18288 ISABEL LYNCH DE RUBIO
000003,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000004,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000005,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000006,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000007,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000008,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000009,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000010,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000011,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000012,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000013,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0001,IE 18288 ISABEL LYNCH DE RUBIO
000014,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,230,0002,IE VIRGEN ASUNTA
000015,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,230,0002,IE VIRGEN ASUNTA
000016,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000017,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000018,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000019,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000020,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000021,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000022,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000023,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000024,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0002,IE VIRGEN ASUNTA
000025,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,230,0003,IE 18022 MARIA AUXILIADORA
000026,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0003,IE 18022 MARIA AUXILIADORA
000027,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0003,IE 18022 MARIA AUXILIADORA
000028,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0003,IE 18022 MARIA AUXILIADORA
000029,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0003,IE 18022 MARIA AUXILIADORA
000030,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0003,IE 18022 MARIA AUXILIADORA
000031,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0003,IE 18022 MARIA AUXILIADORA
000032,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,0003,IE 18022 MARIA AUXILIADORA
000033,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,253,7844,IE SEMINARIO JESUS MARIA
000034,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
000035,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
000036,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
000037,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
000038,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
000039,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
000040,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
000041,010101,CHACHAPOYAS,010100,CHACHAPOYAS,010000,AMAZONAS,False,300,7844,IE SEMINARIO JESUS MARIA
