ubigeo,departamento,provincia,distrito,electores,area_km2,population_density,keiko_2021_share,castillo_2021_share,rural,agua,trabajo,sis,educacion,pobreza
10101,Amazonas,Chachapoyas,Chachapoyas,22013.0,153.0742,143.8061,44.4754,55.5246,1.7276,94.0641,44.5086,46.5004,65.4401,9.034625
10102,Amazonas,Chachapoyas,Asunción,301.0,34.8696,8.6322,20.3947,79.6053,100.0,84.8485,24.1667,83.2061,41.2,36.519949000000004
10103,Amazonas,Chachapoyas,Balsas,1208.0,318.1213,3.7973,41.3078,58.6922,100.0,83.2618,33.7561,72.007,30.4878,45.732962
10104,Amazonas,Chachapoyas,Cheto,673.0,70.3073,9.5723,30.2632,69.7368,100.0,100.0,49.6656,84.2679,32.3529,39.169782
10105,Amazonas,Chachapoyas,Chiliquín,1012.0,141.5747,7.1482,53.5014,46.4986,100.0,95.092,54.1045,89.7436,18.1329,53.04566200000001
10106,Amazonas,Chachapoyas,Chuquibamba,1760.0,183.8599,9.5725,52.2273,47.7727,100.0,93.1646,34.377,81.8641,36.3636,51.607832
10107,Amazonas,Chachapoyas,Granada,564.0,171.1797,3.2948,32.2464,67.7536,100.0,94.5946,35.8575,82.2917,30.1099,43.86595700000001
10108,Amazonas,Chachapoyas,Huancas,832.0,46.149,18.0286,49.8423,50.1577,100.0,21.5686,22.2494,67.6471,50.7667,31.977312
10109,Amazonas,Chachapoyas,La Jalca,4330.0,124.0903,34.8939,17.6964,82.3036,39.9196,96.5449,41.3445,88.0845,32.498,47.947722999999996
10110,Amazonas,Chachapoyas,Leimebamba,2890.0,380.3968,7.5973,45.0841,54.9159,22.7072,90.5993,34.5024,70.1934,40.5327,25.741684
10111,Amazonas,Chachapoyas,Levanto,1034.0,74.8653,13.8115,44.5636,55.4364,100.0,100.0,45.4294,81.1083,27.7556,41.081444000000005
10112,Amazonas,Chachapoyas,Magdalena,790.0,135.1879,5.8437,33.463,66.537,100.0,93.1298,36.4812,76.9953,41.594,30.634088
10113,Amazonas,Chachapoyas,Mariscal Castilla,903.0,78.718,11.4713,47.5904,52.4096,100.0,86.9792,30.303,69.9342,46.887,39.230882
10114,Amazonas,Chachapoyas,Molinopampa,2185.0,340.2497,6.4218,40.2299,59.7701,100.0,100.0,27.2999,72.1967,36.1018,35.654303999999996
10115,Amazonas,Chachapoyas,Montevideo,655.0,122.84,5.3321,28.4987,71.5013,100.0,64.2857,32.6754,68.5484,47.4576,38.644489
10116,Amazonas,Chachapoyas,Olleros,438.0,106.7735,4.1021,26.556,73.444,100.0,100.0,50.289,80.0,38.0952,47.9082
10117,Amazonas,Chachapoyas,Quinjalca,996.0,82.4835,12.0751,17.5926,82.4074,100.0,34.7107,27.0195,69.4408,18.4282,47.119202
10118,Amazonas,Chachapoyas,San Francisco De Daguas,398.0,40.4703,9.8344,45.1282,54.8718,100.0,74.026,38.79,58.6441,52.2968,29.704093999999998
10119,Amazonas,Chachapoyas,San Isidro De Maino,679.0,107.8378,6.2965,37.859,62.141,100.0,83.5294,39.8496,87.5862,25.6364,43.370115
10120,Amazonas,Chachapoyas,Soloco,1499.0,74.6635,20.0767,34.0206,65.9794,100.0,87.8307,32.19,79.4118,29.6862,41.062364
10121,Amazonas,Chachapoyas,Sonche,435.0,120.0637,3.6231,47.5936,52.4064,100.0,94.7368,52.9148,81.3765,22.1757,55.850202
10205,Amazonas,Bagua,Bagua,21174.0,132.9661,159.2436,40.2971,59.7029,8.5676,67.4695,40.6232,58.1654,60.5021,16.212835
10202,Amazonas,Bagua,Aramango,9383.0,818.9754,11.457,34.8675,65.1325,71.5105,90.2534,32.3158,84.6288,33.5146,38.525807
10203,Amazonas,Bagua,Copallín,4461.0,98.8761,45.1171,30.8871,69.1129,48.1393,64.5851,34.7969,83.7432,38.9356,24.530257999999996
10204,Amazonas,Bagua,El Parco,1534.0,18.1328,84.5981,26.5957,73.4043,100.0,95.3425,30.3604,81.6612,41.5371,35.249588
10206,Amazonas,Bagua,Imaza,26611.0,4584.7902,5.8042,8.857,91.143,81.2535,75.5102,21.4925,79.7751,35.5699,53.94968999999999
10201,Amazonas,Bagua,La Peca,6687.0,138.0631,48.4344,37.9843,62.0157,37.3003,94.5075,38.1519,82.2045,43.0976,34.761666000000005
10301,Amazonas,Bongará,Jumbilla,864.0,158.5407,5.4497,31.7164,68.2836,100.0,94.0054,42.5583,64.9963,49.5327,29.547677999999998
10304,Amazonas,Bongará,Chisquilla,418.0,161.7907,2.5836,37.5887,62.4113,100.0,85.567,46.9091,73.2026,31.4685,42.24183000000001
10305,Amazonas,Bongará,Churuja,350.0,31.7873,11.0107,53.5565,46.4435,100.0,100.0,43.5606,69.6864,47.9853,20.78695
10302,Amazonas,Bongará,Corosha,691.0,64.1849,10.7658,20.8333,79.1667,100.0,89.2157,43.2792,83.5492,33.2414,54.796368
10303,Amazonas,Bongará,Cuispes,845.0,96.4357,8.7623,23.5012,76.4988,100.0,91.8269,32.1543,73.3931,32.6594,45.831589
10306,Amazonas,Bongará,Florida,4908.0,221.8781,22.1203,37.9043,62.0957,37.6729,93.1466,38.9265,71.5786,38.3762,33.682214
10312,Amazonas,Bongará,Jazán,5660.0,75.6474,74.8208,46.593,53.407,15.4881,95.3668,45.1521,59.314,49.4977,22.712901000000002
10307,Amazonas,Bongará,Recta,347.0,28.0225,12.3829,22.7027,77.2973,100.0,100.0,44.5026,83.6538,33.1658,38.690705
10308,Amazonas,Bongará,San Carlos,611.0,112.4267,5.4347,33.5526,66.4474,100.0,90.9091,48.0519,59.1002,39.2781,28.9591
10309,Amazonas,Bongará,Shipasbamba,1509.0,125.3946,12.034,30.8133,69.1867,100.0,93.1319,37.0424,81.9363,34.7318,35.863147999999995
10310,Amazonas,Bongará,Valera,1032.0,77.9599,13.2376,51.2777,48.7223,100.0,84.7826,45.6119,73.4554,32.2581,20.78695
10311,Amazonas,Bongará,Yambrasbamba,4947.0,1679.2019,2.946,34.2494,65.7506,60.5702,84.6212,32.6551,80.1865,31.9368,43.859279
10601,Amazonas,Condorcanqui,Nieva,23807.0,4182.5908,5.6919,13.0993,86.9007,78.122,82.3529,22.616,74.0417,33.9832,51.406262000000005
10603,Amazonas,Condorcanqui,El Cenepa,11172.0,5608.738,1.9919,2.3804,97.6196,100.0,89.4246,10.7177,79.7189,29.9767,62.912380999999996
10602,Amazonas,Condorcanqui,Río Santiago,12330.0,8074.5129,1.527,8.9536,91.0464,100.0,84.5324,9.6263,86.906,33.6576,59.872335
10401,Amazonas,Luya,Lamud,1744.0,73.1281,23.8486,34.372,65.628,100.0,96.1078,36.5385,65.3794,54.5793,30.951386
10402,Amazonas,Luya,Camporredondo,5324.0,218.7968,24.3331,29.4991,70.5009,35.9802,70.9959,35.9916,75.9617,36.6683,50.206717999999995
