ubigeo_distrito,votos_validos,votos_blancos,votos_nulos,votos_emitidos,actas_contabilizadas,actas_total,cand_08,cand_10,cand_35,cand_16,cand_14,cand_23,cand_02,cand_33,cand_31,cand_21,cand_32,cand_25,cand_01,cand_12,cand_20,cand_24,cand_29,cand_03,cand_37,cand_17,cand_27,cand_22,cand_38,cand_18,cand_26,cand_11,cand_07,cand_28,cand_09,cand_05,cand_19,cand_36,cand_30,cand_04,cand_15,cand_34
010101,13472,1891,1108,16471,76,76,2395,1062,1141,1745,1395,574,1750,867,455,199,107,131,202,141,335,127,121,177,39,35,74,87,50,44,35,25,19,22,28,11,24,8,12,7,0,28
010102,121,40,12,173,2,2,13,15,5,14,16,1,20,2,3,1,0,0,3,0,13,1,0,4,1,2,2,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0
010103,611,137,28,776,5,5,120,188,11,8,66,16,31,4,12,1,9,0,20,3,74,7,18,3,0,1,4,2,0,1,1,0,0,3,0,1,0,1,3,0,0,3
010104,365,65,46,476,3,3,67,77,18,17,87,2,18,7,9,2,5,1,9,3,4,13,1,9,1,0,3,3,2,5,0,0,0,1,0,0,0,0,0,0,0,1
010105,380,105,34,519,4,4,138,82,8,15,54,6,20,6,3,0,1,3,14,0,9,2,1,3,1,0,5,0,0,2,0,3,0,0,0,1,0,0,1,0,0,2
010106,469,154,76,699,7,7,157,88,21,7,32,6,38,6,5,2,6,2,10,10,43,0,2,6,0,0,8,3,0,6,1,1,0,0,2,0,2,2,1,1,0,1
010107,321,45,17,383,2,2,52,57,5,20,80,8,36,0,9,3,3,2,0,1,14,1,1,5,3,4,2,4,3,0,0,0,0,1,2,0,1,1,3,0,0,0
010108,522,105,40,667,3,3,159,70,35,23,61,21,35,12,5,3,6,1,16,1,27,4,6,15,1,1,10,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0
010109,2375,535,252,3162,17,17,142,1355,38,41,369,21,69,31,25,16,43,2,25,7,36,26,4,24,3,34,18,4,0,10,3,3,3,8,2,1,4,3,0,0,0,5
010110,1448,325,132,1905,10,10,218,284,98,117,127,41,131,23,27,10,17,5,29,103,120,8,7,6,4,27,13,7,7,4,1,1,2,0,1,2,3,1,0,1,0,3
010111,710,102,35,847,4,4,209,165,24,25,66,30,74,8,17,2,10,1,5,4,25,12,3,10,2,0,7,2,0,2,0,2,0,1,0,1,1,0,1,0,0,1
010112,467,81,55,603,3,3,89,57,13,7,60,24,33,4,2,13,42,4,35,16,3,4,2,3,2,10,0,3,0,1,0,23,1,5,2,3,3,1,1,0,0,1
010113,469,114,25,608,4,4,145,113,15,5,46,16,48,11,7,2,7,5,10,0,8,4,2,8,2,0,2,2,0,2,4,1,0,0,1,0,1,1,0,1,0,0
010114,1247,223,100,1570,8,8,273,244,72,96,128,32,174,21,36,10,12,8,22,7,25,6,2,19,3,6,15,8,3,5,3,1,0,3,0,2,2,2,2,1,0,4
010115,376,56,44,476,3,3,54,61,15,30,63,10,62,15,4,2,2,0,10,3,27,1,0,7,0,2,2,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0
010116,238,34,21,293,2,2,33,58,4,9,38,2,35,5,3,2,2,3,6,0,12,9,2,7,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
010117,413,119,32,564,4,4,49,118,7,13,89,13,29,8,5,6,8,6,17,9,3,4,2,8,0,1,8,2,3,0,0,0,0,0,0,2,1,0,0,1,0,1
010118,216,47,19,282,2,2,34,20,18,21,37,2,34,8,6,2,1,1,5,0,3,3,1,9,0,1,3,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1
010119,422,74,28,524,3,3,141,90,8,12,38,8,35,8,17,1,5,0,12,12,11,2,2,4,0,1,4,0,1,2,3,0,0,0,0,0,2,3,0,0,0,0
