codigo_mesa,ubigeo_distrito,nombre_distrito,ubigeo_provincia,nombre_provincia,ubigeo_dept,nombre_dept,is_exterior,electores_habiles,votos_emitidos,votos_validos,cand_01,cand_02,descripcion_error,Acta con error aritmético,Acta ilegible,Acta impugnada,Acta sin firmas
000213,010203,COPALLIN,010200,BAGUA,010000,AMAZONAS,False,230,0,0,40,95,,0,0,0,0
000229,010205,BAGUA,010200,BAGUA,010000,AMAZONAS,False,294,0,0,86,99,,0,0,0,0
000233,010205,BAGUA,010200,BAGUA,010000,AMAZONAS,False,294,0,0,91,119,,0,0,0,0
000276,010205,BAGUA,010200,BAGUA,010000,AMAZONAS,False,299,0,0,85,95,,0,0,0,0
000805,010701,BAGUA GRANDE,010700,UTCUBAMBA,010000,AMAZONAS,False,300,0,0,77,113,,0,0,0,0
000845,010701,BAGUA GRANDE,010700,UTCUBAMBA,010000,AMAZONAS,False,300,0,0,62,130,,0,0,0,0
000886,010701,BAGUA GRANDE,010700,UTCUBAMBA,010000,AMAZONAS,False,295,0,0,82,117,,0,0,0,0
000898,010701,BAGUA GRANDE,010700,UTCUBAMBA,010000,AMAZONAS,False,294,0,0,58,117,,0,0,0,0
000977,010704,EL MILAGRO,010700,UTCUBAMBA,010000,AMAZONAS,False,268,0,0,68,114,,0,0,0,0
001236,020102,INDEPENDENCIA,020100,HUARAZ,020000,ANCASH,False,300,0,0,92,125,,0,0,0,0
001287,020102,INDEPENDENCIA,020100,HUARAZ,020000,ANCASH,False,296,0,0,83,114,,0,0,0,0
001295,020102,INDEPENDENCIA,020100,HUARAZ,020000,ANCASH,False,271,0,0,52,124,,0,0,0,0
001960,020801,HUARI,020800,HUARI,020000,ANCASH,False,300,0,0,35,121,,0,0,0,0
001971,020801,HUARI,020800,HUARI,020000,ANCASH,False,297,0,0,45,128,,0,0,0,0
002043,020805,HUACHIS,020800,HUARI,020000,ANCASH,False,300,0,0,32,99,,0,0,0,0
002148,020813,SAN MARCOS,020800,HUARI,020000,ANCASH,False,300,0,0,56,130,,0,0,0,0
002196,020813,SAN MARCOS,020800,HUARI,020000,ANCASH,False,300,0,0,27,56,,0,0,0,0
002456,021301,CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,130,90,Acta impugnada | Acta impugnada,0,0,1,0
002469,021301,CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,124,101,,0,0,0,0
002583,021301,CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,72,71,,0,0,0,0
002774,021301,CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,91,101,Acta con error aritmético | Acta con error aritmético,1,0,0,0
002834,021301,CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,114,91,,0,0,0,0
002915,021301,CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,105,113,,0,0,0,0
003153,021307,SANTA,021300,SANTA,020000,ANCASH,False,300,0,0,96,101,,0,0,0,0
003419,021309,NUEVO CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,104,125,Acta impugnada | Acta impugnada,0,0,1,0
003423,021309,NUEVO CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,109,123,Acta impugnada | Acta impugnada,0,0,1,0
003608,021309,NUEVO CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,100,116,Acta con error aritmético | Acta con error aritmético,1,0,0,0
003629,021309,NUEVO CHIMBOTE,021300,SANTA,020000,ANCASH,False,300,0,0,106,110,Acta ilegible | Acta ilegible,0,1,0,0
003777,021501,YUNGAY,021500,YUNGAY,020000,ANCASH,False,296,0,0,63,121,,0,0,0,0
004053,021901,HUARMEY,021900,HUARMEY,020000,ANCASH,False,300,0,0,104,97,,0,0,0,0
004070,021905,CULEBRAS,021900,HUARMEY,020000,ANCASH,False,294,0,0,128,72,,0,0,0,0
004189,030101,ABANCAY,030100,ABANCAY,030000,APURIMAC,False,300,0,0,71,129,Acta impugnada | Acta impugnada,0,0,1,0
004228,030101,ABANCAY,030100,ABANCAY,030000,APURIMAC,False,300,0,0,59,147,Acta impugnada | Acta impugnada,0,0,1,0
004692,030310,SAN JERONIMO,030300,ANDAHUAYLAS,030000,APURIMAC,False,295,0,0,43,191,,0,0,0,0
005528,040102,CAYMA,040100,AREQUIPA,040000,AREQUIPA,False,300,0,0,89,130,,0,0,0,0
005632,040102,CAYMA,040100,AREQUIPA,040000,AREQUIPA,False,300,0,0,88,0,,0,0,0,0
005983,040103,CERRO COLORADO,040100,AREQUIPA,040000,AREQUIPA,False,300,0,0,75,180,,0,0,0,0
006319,040104,CHARACATO,040100,AREQUIPA,040000,AREQUIPA,False,293,0,0,68,158,,0,0,0,0
007584,040123,YANAHUARA,040100,AREQUIPA,040000,AREQUIPA,False,300,0,0,148,83,,0,0,0,0
007753,040126,MARIANO MELGAR,040100,AREQUIPA,040000,AREQUIPA,False,230,0,0,83,80,,0,0,0,0
007862,040126,MARIANO MELGAR,040100,AREQUIPA,040000,AREQUIPA,False,300,0,0,80,144,,0,0,0,0
008067,040128,ALTO SELVA ALEGRE,040100,AREQUIPA,040000,AREQUIPA,False,300,0,0,116,123,,0,0,0,0
008080,040128,ALTO SELVA ALEGRE,040100,AREQUIPA,040000,AREQUIPA,False,275,0,0,94,132,,0,0,0,0
008884,040305,NICOLAS DE PIEROLA,040300,CAMANA,040000,AREQUIPA,False,300,0,0,83,128,,0,0,0,0
